Time,root.Adiac.d0.s0
0,1.5980065
1,1.5994389
2,1.5705294
3,1.5504735
4,1.5073709
5,1.4343414
6,1.3689859
7,1.3052935
8,1.2103053
9,1.1166533
10,1.0239758
11,0.92597745
12,0.82810675
13,0.73922239
14,0.64305122
15,0.5564315
16,0.4629485
17,0.36957542
18,0.27842598
19,0.18583002
20,0.095531978
21,0.010645835
22,-0.080855592
23,-0.16554948
24,-0.24349159
25,-0.33543018
26,-0.42610927
27,-0.49748567
28,-0.56685001
29,-0.64985597
30,-0.73224739
31,-0.77780027
32,-0.84298388
33,-0.91730416
34,-0.98797259
35,-1.0550113
36,-1.0967752
37,-1.1470648
38,-1.1984294
39,-1.2431884
40,-1.2816298
41,-1.3126376
42,-1.335745
43,-1.3511225
44,-1.37692
45,-1.3879348
46,-1.3768921
47,-1.3570987
48,-1.3295771
49,-1.2936916
50,-1.2576962
51,-1.2304194
52,-1.1742499
53,-1.1141994
54,-1.0720044
55,-1.0067549
56,-0.94892859
57,-0.87017066
58,-0.79017002
59,-0.72450665
60,-0.64283512
61,-0.59163379
62,-0.52139211
63,-0.43062968
64,-0.35084756
65,-0.26985588
66,-0.17363819
67,-0.089113314
68,-0.0039202835
69,0.08545283
70,0.17517592
71,0.26705534
72,0.36297072
73,0.45238072
74,0.54911159
75,0.64981693
76,0.74624359
77,0.84565871
78,0.94633349
79,1.0456812
80,1.1463071
81,1.2423602
82,1.3439936
83,1.4417984
84,1.5406627
85,1.6240945
86,1.6695854
87,1.6852007
88,1.6966604
89,1.6974616
90,1.687431
91,1.6385253
92,1.5737029
93,1.4785844
94,1.3769022
95,1.2765966
96,1.1770306
97,1.0776997
98,0.97920335
99,0.88053308
100,0.77792639
101,0.681645
102,0.5904323
103,0.49275089
104,0.40434261
105,0.30858913
106,0.2135155
107,0.12267702
108,0.037602884
109,-0.052601582
110,-0.13750988
111,-0.22040199
112,-0.31555828
113,-0.3946138
114,-0.44607596
115,-0.53343935
116,-0.60286039
117,-0.67340675
118,-0.7376065
119,-0.81902985
120,-0.88525804
121,-0.95008305
122,-1.002563
123,-1.0630029
124,-1.1251954
125,-1.1657686
126,-1.2042625
127,-1.2484515
128,-1.2737702
129,-1.2843798
130,-1.2733369
131,-1.2867387
132,-1.2918724
133,-1.2886474
134,-1.2777387
135,-1.2581449
136,-1.2313524
137,-1.1972685
138,-1.1563123
139,-1.1104562
140,-1.0845237
141,-1.0258311
142,-0.96255104
143,-0.89507051
144,-0.84781475
145,-0.77253707
146,-0.69457342
147,-0.63199846
148,-0.55121949
149,-0.48458675
150,-0.40867694
151,-0.32442403
152,-0.24745378
153,-0.16365095
154,-0.076912929
155,0.0088012471
156,0.09727377
157,0.1858962
158,0.28400462
159,0.38120517
160,0.46302539
161,0.55693306
162,0.65096988
163,0.73820038
164,0.83474166
165,0.92993859
166,1.0248605
167,1.1209061
168,1.2171752
169,1.3125298
170,1.4029198
171,1.4810428
172,1.5210116
173,1.5641545
174,1.5708545
175,1.5928905
176,1.7011457
177,1.670645
178,1.6188844
179,1.5468046
180,1.4754685
181,1.3912091
182,1.3058823
183,1.237313
184,1.1534138
185,1.0696899
186,0.98454362
187,0.89942283
188,0.81612699
189,0.73289041
190,0.65764526
191,0.58058678
192,0.4959768
193,0.41345876
194,0.32892097
195,0.24706519
196,0.16280184
197,0.081586059
198,-0.0023119988
199,-0.086057688
200,-0.16614548
201,-0.24934142
202,-0.33228549
203,-0.4134261
204,-0.49281263
205,-0.57445393
206,-0.65557676
207,-0.73608481
208,-0.8158479
209,-0.87416644
210,-0.95156479
211,-1.0303996
212,-1.1065858
213,-1.1604502
214,-1.2295479
215,-1.2946742
216,-1.3545158
217,-1.4072008
218,-1.450255
219,-1.4811668
220,-1.49741
221,-1.4971929
222,-1.4803294
223,-1.4488917
224,-1.418129
