Time,root.BME.d0.s0
0,0.037764633
1,0.00025311236
2,0.003977076
3,0.020764058
4,0.02173118
5,0.114
6,0.414
7,0.718
8,0.889
9,0.969
10,1.002
11,1.014
12,1.017
13,0.905
14,0.605
15,0.304
16,0.138
17,0.061
18,0.053973303
19,0.0146603
20,0.035561278
21,0.045494101
22,0.030238212
23,0.043190555
24,0.021148818
25,0.039419722
26,0.017780126
27,0.04535716
28,0.04564139
29,0.018776462
30,0.012347944
31,0.02442172
32,0.018924466
33,0.0069161007
34,0.042104272
35,0.00051942129
36,-0.114
37,-0.399
38,-0.682
39,-0.836
40,-0.906
41,-0.933
42,-0.943
43,-0.944
44,-0.944
45,-0.948
46,-0.949
47,-0.946
48,-0.948
49,-0.951
50,-0.952
51,-0.952
52,-0.953
53,-0.952
54,-0.952
55,-0.952
56,-0.95
57,-0.949
58,-0.952
59,-0.956
60,-0.96
61,-0.961
62,-0.959
63,-0.958
64,-0.96
65,-0.961
66,-0.96
67,-0.96
68,-0.959
69,-0.958
70,-0.956
71,-0.953
72,-0.949
73,-0.947
74,-0.948
75,-0.951
76,-0.95
77,-0.945
78,-0.941
79,-0.941
80,-0.943
81,-0.944
82,-0.943
83,-0.944
84,-0.952
85,-0.957
86,-0.953
87,-0.946
88,-0.838
89,-0.56
90,-0.284
91,-0.131
92,-0.057
93,-0.015058931
94,0.0059390887
95,0.0022057233
96,0.0083295739
97,0.028908968
98,0.0049785927
99,0.041239881
100,0.010012772
101,0.019281287
102,0.033087255
103,0.0099204681
104,0.026583031
105,0.0094319071
106,0.018443621
107,0.023889741
108,0.043350606
109,0.030228536
110,0.031086542
111,0.012996399
112,0.034532338
113,0.03117658
114,0.019603584
115,0.027655279
116,0.041001638
117,0.019075367
118,0.034208601
119,0.022830972
120,0.013387386
121,0.038906948
122,0.039187692
123,0.053616705
124,0.054673016
125,0.031523157
126,0.03978737
127,0.020660802
128,0.00042488186
129,0.020981824
130,0.0025258326
131,0.020117526
132,0.037073942
133,0.034782011
134,0.083
135,0.317
136,0.55
137,0.68
138,0.653
139,0.444
140,0.22
141,0.093
142,0.070778662
143,0.065886666
144,0.028743847
145,0.020472984
146,0.0051046344
147,0.034979318
148,0.0087252853
149,0.0020647431
150,0.045125762
151,0.042510308
152,0.022553845
153,-0.004739334
154,0.025469858
155,0.022233722
156,-0.0019671411
157,0.017403772
158,0.035050456
159,0.014614602
160,-0.0014336194
161,0.044546991
162,-0.105
163,-0.39
164,-0.675
165,-0.831
166,-0.904
167,-0.937
168,-0.949
169,-0.953
170,-0.956
171,-0.957
172,-0.957
173,-0.961
174,-0.964
175,-0.963
176,-0.958
177,-0.952
178,-0.95
179,-0.95
180,-0.95
181,-0.953
182,-0.956
183,-0.956
184,-0.957
185,-0.956
186,-0.952
187,-0.951
188,-0.952
189,-0.952
190,-0.948
191,-0.946
192,-0.947
193,-0.947
194,-0.953
195,-0.963
196,-0.969
197,-0.97
198,-0.969
199,-0.965
200,-0.959
201,-0.957
202,-0.961
203,-0.964
204,-0.964
205,-0.961
206,-0.961
207,-0.963
208,-0.854
209,-0.567
210,-0.282
211,-0.127
212,-0.053
213,-0.015365247
214,0.012254936
215,0.006275639
216,0.051419715
217,0.036678274
218,0.027762519
219,0.012281964
220,0.0025796888
221,0.0059810169
222,0.03354389
223,0.024958947
224,0.014049092
225,0.052159357
226,0.0060923645
227,0.019117893
228,0.019295281
229,0.031271561
230,0.052437295
231,0.037049917
232,0.032577361
233,0.0084259838
234,0.034694318
235,0.044663156
236,0.016633345
237,0.030271456
238,0.019204071
239,0.025007295
240,0.0047189444
241,0.02989895
242,0.03201885
243,0.049079953
244,0.025824827
245,0.029944055
246,0.036964033
247,0.01122764
248,0.02504034
249,0.044364509
250,0.043476064
251,0.044163213
252,0.021766566
253,0.0077890262
254,0.029194197
255,0.021837388
256,0.01985576
257,0.0036765858
258,0.035077439
259,0.011545324
260,0.127
261,0.462
262,0.797
263,0.985
264,1.074
265,0.983
266,0.659
267,0.329
268,0.15
269,0.069
270,0.049530494
271,0.040724344
272,0.037918748
273,0.0076597084
274,0.033325635
275,0.038108341
276,0.002355183
277,0.035275945
278,0.0058735434
279,0.0045126698
280,0.030157389
281,0.0055041688
282,0.050489093
283,0.013767635
284,0.029867548
285,0.050910705
286,0.030182345
287,0.018395716
288,0.00774318
289,0.018450358
290,0.0049792595
291,0.0053999084
292,0.045926886
293,0.021287496
294,-0.109
295,-0.398
296,-0.683
297,-0.84
298,-0.912
299,-0.941
300,-0.954
301,-0.96
302,-0.963
303,-0.965
304,-0.966
305,-0.97
306,-0.974
307,-0.971
308,-0.965
309,-0.967
310,-0.972
311,-0.971
312,-0.968
313,-0.968
314,-0.971
315,-0.972
316,-0.971
317,-0.969
318,-0.966
319,-0.968
320,-0.969
321,-0.965
322,-0.963
323,-0.961
324,-0.96
325,-0.96
326,-0.961
327,-0.96
328,-0.96
329,-0.964
330,-0.968
331,-0.969
332,-0.97
333,-0.971
334,-0.973
335,-0.972
336,-0.97
337,-0.971
338,-0.972
339,-0.969
340,-0.968
341,-0.863
342,-0.577
343,-0.288
344,-0.128
345,-0.056
346,0.0070582319
347,-0.0019795324
348,0.033353805
349,0.040041698
350,0.036635
351,0.023278327
352,-0.0042267381
353,-0.0067349283
354,0.01103473
355,0.045247913
356,0.046580163
357,0.0156087
358,0.031552999
359,0.042983979
360,0.007943757
361,0.025884929
362,0.040536708
363,0.019715904
364,0.01317706
365,0.010578976
366,-0.00020579717
367,0.015421146
368,0.015068841
369,0.060528159
370,0.018617595
371,0.048760359
372,0.041059251
373,0.019924015
374,0.043864909
375,0.017685771
376,0.046659284
377,0.0057168026
378,0.019495807
379,0.021592093
380,0.018679618
381,0.02247886
382,0.032203582
383,0.045187206
384,-0.0058045195
385,0.0026662398
386,0.021715744
387,0.016958353
388,0.027036981
389,0.0035956714
390,0.012597419
391,0.09
392,0.338
393,0.581
394,0.712
395,0.772
396,0.802
397,0.818
398,0.732
399,0.489
400,0.248
401,0.115
402,0.071416383
403,0.034870151
404,0.026085352
405,0.034529395
406,0.0056796758
407,0.0023368371
408,0.033759972
409,0.042656968
410,0.030741909
411,0.017588912
412,0.020270081
413,0.020691258
414,0.026208682
415,0.051659667
416,0.0083407721
417,0.040010656
418,0.023314637
419,0.016166998
420,0.018181915
421,0.036194158
422,0.047741957
423,0.043097735
424,0.029863972
425,0.112
426,0.415
427,0.723
428,0.894
429,0.969
430,0.999
431,1.013
432,1.021
433,1.025
434,1.025
435,1.023
436,1.022
437,1.019
438,1.017
439,1.019
440,1.019
441,1.018
442,1.015
443,1.014
444,1.016
445,1.018
446,1.021
447,1.02
448,1.018
449,1.021
450,1.022
451,1.022
452,1.02
453,1.018
454,1.02
455,1.02
456,1.018
457,1.017
458,1.017
459,1.017
460,1.016
461,1.015
462,1.014
463,1.014
464,1.016
465,1.017
466,1.015
467,1.009
468,1.01
469,1.017
470,0.907
471,0.605
472,0.306
473,0.139
474,0.058
475,0.045409684
476,0.0074721171
477,0.038616449
478,0.024287251
479,0.02166114
480,0.036103101
481,0.027862932
482,0.032882089
483,0.040671358
484,0.024862058
485,0.045602172
486,0.050920546
487,0.025955442
488,0.022115532
489,0.028710872
490,0.014190117
491,0.026777058
492,0.042685738
493,0.018282146
494,0.010616587
495,0.011361074
496,0.011362604
497,0.025945068
498,0.031412962
499,0.014264444
500,0.017901617
501,0.022442366
502,0.0074004556
503,0.021471806
504,0.0054431651
505,0.045583447
506,0.0010838558
507,0.01909122
508,0.0057053971
509,0.0035783301
510,0.031542128
511,0.03438603
512,0.031380433
513,0.057092485
514,0.047269203
515,0.04387237
516,0.026901778
517,0.037878251
518,0.032261379
519,0.011464701
520,0.024362029
521,0.039082336
522,0.106
523,0.384
524,0.662
525,0.813
526,0.881
527,0.911
528,0.926
529,0.827
530,0.55
531,0.273
532,0.123
533,0.053
534,0.023166822
535,0.051129921
536,0.012812398
537,0.043928166
538,0.0011329913
539,0.014959758
540,0.014848886
541,-0.00046490667
542,0.032822877
543,0.0060854611
544,0.010134292
545,0.038944192
546,0.03739454
547,0.010911441
548,0.044068712
549,0.016349226
550,0.029910566
551,0.043761823
552,0.032454576
553,0.024217738
554,0.028043532
555,-0.108
556,-0.388
557,-0.668
558,-0.825
559,-0.898
560,-0.928
561,-0.94
562,-0.944
563,-0.946
564,-0.949
565,-0.95
566,-0.945
567,-0.94
568,-0.937
569,-0.938
570,-0.941
571,-0.942
572,-0.942
573,-0.944
574,-0.944
575,-0.941
576,-0.938
577,-0.938
578,-0.941
579,-0.944
580,-0.944
581,-0.946
582,-0.948
583,-0.947
584,-0.946
585,-0.944
586,-0.94
587,-0.938
588,-0.942
589,-0.95
590,-0.955
591,-0.956
592,-0.955
593,-0.952
594,-0.949
595,-0.946
596,-0.945
597,-0.947
598,-0.948
599,-0.947
600,-0.943
601,-0.942
602,-0.943
603,-0.946
604,-0.948
605,-0.947
606,-0.944
607,-0.943
608,-0.944
609,-0.947
610,-0.948
611,-0.946
612,-0.946
613,-0.844
614,-0.565
615,-0.283
616,-0.126
617,-0.05
618,-0.00030502851
619,0.018802919
620,0.038632845
621,0.022510847
622,0.0045877879
623,0.015462025
624,-0.0056316916
625,0.012894473
626,-0.0045891752
627,0.029480553
628,0.00023996131
629,0.021224528
630,0.035658042
631,0.019190653
632,0.044963907
633,0.014297094
634,0.0054194815
635,-0.00023045427
636,0.027151247
637,0.029029138
638,0.040782122
639,0.034723072
640,0.026949368
641,0.046553283
642,0.01249595
643,0.042750198
644,0.02778757
645,0.038858944
646,0.019383026
647,0.018273748
648,0.12
649,0.434
650,0.747
651,0.923
652,1.007
653,1.038
654,1.046
655,1.052
656,0.939
657,0.623
658,0.304
659,0.13
660,0.051
661,0.061336012
662,0.036400214
663,0.0053524512
664,-0.0003654563
665,0.02379367
666,0.0076737811
667,0.016405524
668,0.038575976
669,0.049260352
670,0.042274895
671,0.047206775
672,0.0035038926
673,0.012542408
674,0.048689615
675,0.018116364
676,0.053992364
677,0.020579384
678,0.011413614
679,0.011500252
680,-0.107
681,-0.396
682,-0.685
683,-0.847
684,-0.925
685,-0.958
686,-0.971
687,-0.979
688,-0.985
689,-0.984
690,-0.979
691,-0.978
692,-0.983
693,-0.986
694,-0.988
695,-0.99
696,-0.989
697,-0.985
698,-0.984
699,-0.985
700,-0.986
701,-0.987
702,-0.986
703,-0.985
704,-0.989
705,-0.993
706,-0.994
707,-0.993
708,-0.992
709,-0.99
710,-0.986
711,-0.981
712,-0.98
713,-0.98
714,-0.983
715,-0.986
716,-0.987
717,-0.987
718,-0.987
719,-0.985
720,-0.983
721,-0.982
722,-0.982
723,-0.981
724,-0.98
725,-0.979
726,-0.872
727,-0.583
728,-0.294
729,-0.132
730,-0.055
731,-0.011529818
732,0.0014682689
733,7.6127859e-05
734,0.041490486
735,0.037339176
736,0.039694768
737,0.012522766
738,0.055483212
739,0.025533563
740,0.04745554
741,0.019687428
742,0.04271672
743,0.038830597
744,0.037317845
745,0.00054149601
746,0.023914402
747,0.0092937718
748,0.0090317247
749,0.0035913165
750,0.043817808
751,0.0058645308
752,0.0075749078
753,0.046299133
754,0.039123095
755,0.042511683
756,0.0041764753
757,0.043529554
758,0.014155193
759,0.013723285
760,0.046840932
761,0.041271348
762,0.05191402
763,0.058153234
764,0.039676077
765,0.042518082
766,0.038279709
767,0.034262045
768,0.045371132
769,0.030580846
770,0.0038422667
771,0.035998476
772,0.031280292
773,0.0083493975
774,0.0057627669
775,0.014480901
776,0.023051747
777,0.040494162
778,0.107
779,0.393
780,0.681
781,0.847
782,0.928
783,0.852
784,0.572
785,0.283
786,0.121
787,0.056899227
788,0.063461357
789,0.0090627711
790,0.0054068929
791,0.0045721704
792,0.031737209
793,0.037548337
794,-0.004554332
795,0.012857951
796,0.02190675
797,0.005657396
798,0.021927542
799,0.014008635
800,0.03565497
801,0.041648617
802,0.017750049
803,0.041482893
804,0.048182063
805,0.006362657
806,0.047938605
807,0.021948214
808,-0.107
809,-0.403
810,-0.699
811,-0.864
812,-0.944
813,-0.978
814,-0.991
815,-0.999
816,-1.001
817,-1.001
818,-1.001
819,-1.0
820,-0.997
821,-1.0
822,-1.003
823,-1.004
824,-1.008
825,-1.009
826,-1.007
827,-1.003
828,-1.0
829,-1.0
830,-1.001
831,-1.001
832,-1.001
833,-1.0
834,-0.996
