Time,root.CBF.d0.s0
0,-0.46427649
1,-0.55504787
2,-0.8428431
3,-0.86589548
4,-0.93639631
5,-0.81726995
6,-0.26361216
7,-1.2580483
8,-1.2503934
9,-0.91830825
10,-0.92210226
11,-0.98448828
12,-1.2880511
13,-1.14346
14,-1.0488611
15,-0.36538582
16,-0.6913952
17,-0.98055025
18,-0.99133601
19,-0.88708673
20,-1.109881
21,-0.7687248
22,-1.0102962
23,-0.84699606
24,-1.3277464
25,-0.7129093
26,-1.2977275
27,1.3314643
28,0.9357379
29,1.2360468
30,1.0560677
31,0.91074495
32,1.3713479
33,0.93705876
34,0.91029198
35,0.93108664
36,1.4937796
37,1.3192656
38,1.2190887
39,0.94836262
40,0.16902251
41,0.97739879
42,1.2301476
43,0.57156683
44,0.75134091
45,0.96185121
46,0.7813122
47,1.1044295
48,1.0003177
49,0.5507251
50,0.2688748
51,1.1255209
52,1.0758635
53,1.071738
54,1.1544819
55,0.75940186
56,0.1511864
57,1.0202768
58,1.2572739
59,1.007149
60,1.1624171
61,0.82999734
62,1.4850935
63,1.1050903
64,1.5393173
65,1.1156157
66,1.8913625
67,1.3900586
68,1.1566925
69,1.5148579
70,1.6335918
71,0.8102606
72,0.67666423
73,0.7093935
74,1.3614136
75,1.3123797
76,0.59160823
77,0.83192841
78,1.0970562
79,0.96495583
80,0.92592252
81,1.236138
82,1.1216699
83,0.934699
84,1.2165038
85,-1.6066345
86,-0.59477544
87,-0.75663256
88,-0.56605888
89,-0.64849922
90,-0.65649255
91,-0.53225104
92,-0.11504817
93,-0.57315237
94,-0.54118282
95,-0.70008673
96,-1.198927
97,-0.95269931
98,-0.99828204
99,-0.82499015
100,-0.38078029
101,-0.47659767
102,-0.60136144
103,-0.36936332
104,-1.2990449
105,-0.91839479
106,-1.2648127
107,-0.99193767
108,-0.80557657
109,-0.9209508
110,-0.36623347
111,-0.34636283
112,-1.0469164
113,-0.91466684
114,-0.91156991
115,-0.98677519
116,-1.2189544
117,-0.52962015
118,-1.3310856
119,-1.0837
120,-1.0179615
121,-0.91602872
122,-1.1342892
123,-0.92022369
124,-0.7893615
125,-0.63870583
126,-0.96366425
127,-1.2451691
128,-0.89697208
129,-0.68568553
130,-1.3513818
131,-1.4586668
132,-1.1653456
133,-1.4039293
134,-1.8217996
135,-0.83160109
136,-1.0163124
137,-0.8035304
138,-1.2595048
139,-1.1392341
140,-0.87865203
141,-1.5487249
142,-0.9241581
143,-1.3954822
144,0.77660864
