Time,root.Coffee.d0.s0
0,-0.51841899
1,-0.48588363
2,-0.50500747
3,-0.56018294
4,-0.63629941
5,-0.75322902
6,-0.82722915
7,-0.85976467
8,-0.90632072
9,-0.92379648
10,-0.93321222
11,-0.93442926
12,-0.92078716
13,-0.93657191
14,-0.95599685
15,-0.95934101
16,-0.96940599
17,-0.9824055
18,-0.97659952
19,-0.96252576
20,-0.97031893
21,-0.98199237
22,-0.9874616
23,-1.0152202
24,-1.0480611
25,-1.0592421
26,-1.0498854
27,-1.0467321
28,-1.0643986
29,-1.0877935
30,-1.0993351
31,-1.0850813
32,-1.0641912
33,-1.0545229
34,-1.044503
35,-1.0236367
36,-0.99421712
37,-0.96371982
38,-0.92237217
39,-0.86616903
40,-0.81351574
41,-0.77266759
42,-0.72343976
43,-0.66424331
44,-0.63424598
45,-0.6280451
46,-0.60469363
47,-0.56829781
48,-0.53778323
49,-0.50569966
50,-0.4612259
51,-0.38892741
52,-0.29296669
53,-0.20056328
54,-0.090999931
55,0.0084190471
56,0.082658143
57,0.22029375
58,0.34217234
59,0.42883427
60,0.55487916
61,0.54987503
62,0.51045674
63,0.60485004
64,0.6628724
65,0.64908008
66,0.70823327
67,0.79018805
68,0.86140673
69,0.9066245
70,0.99179382
71,1.0739758
72,1.0479147
73,1.0612876
74,1.0357806
75,0.96001308
76,0.89669581
77,0.78296885
78,0.73898713
79,0.73807388
80,0.78617673
81,0.7996705
82,0.7592426
83,0.70871026
84,0.63221283
85,0.63678196
86,0.63336569
87,0.63591783
88,0.66037969
89,0.68449957
90,0.679707
91,0.6353288
92,0.60739885
93,0.60318089
94,0.51534708
95,0.44636312
96,0.44976719
97,0.42765431
98,0.36126765
99,0.31869552
100,0.29465455
101,0.23049152
102,0.21593633
103,0.20237126
104,0.21164516
105,0.2375017
106,0.20308579
107,0.18274348
108,0.20487522
109,0.23673899
110,0.31383021
111,0.38322175
112,0.40506666
113,0.43961046
114,0.48577001
115,0.53359792
116,0.56159823
117,0.60313034
118,0.64741013
119,0.64071562
120,0.67863259
121,0.7238296
122,0.71367778
123,0.73546405
124,0.69066321
125,0.632419
126,0.56722941
127,0.51244061
128,0.4748466
129,0.43247746
130,0.40443785
131,0.33903466
132,0.26204866
133,0.22305982
134,0.24140717
135,0.24035557
136,0.20729773
137,0.21281292
138,0.24948685
139,0.25620973
140,0.26658356
141,0.33899868
142,0.44332037
143,0.54020464
144,0.63521042
145,0.70826639
146,0.76582523
147,0.87434538
148,0.88325623
149,0.84631813
150,0.9807682
151,1.046898
152,1.040239
153,1.0373778
154,1.0324659
155,1.032877
156,1.0432058
157,1.0251688
158,0.9572421
159,0.9823372
160,0.93526851
161,0.84303862
162,0.76011212
163,0.72102534
164,0.6747341
165,0.61629687
166,0.60648544
167,0.59670174
168,0.48259033
169,0.32463397
170,0.20111206
171,0.1009692
172,-0.034165135
173,-0.15944208
174,-0.24965229
175,-0.31928105
176,-0.34077004
177,-0.35730736
178,-0.35495236
179,-0.34208185
180,-0.342095
181,-0.28669973
182,-0.22090321
183,-0.18784982
184,-0.14036721
185,-0.085618493
186,-0.09316192
187,-0.11884304
188,-0.1480344
189,-0.13473365
190,-0.038413047
191,0.037040077
192,0.13759084
193,0.26453012
194,0.39180314
195,0.50227737
196,0.55452482
197,0.62484657
198,0.71932402
199,0.9026986
200,1.0301155
201,1.1143873
202,1.2580638
203,1.398263
204,1.4946701
205,1.5866569
206,1.6391971
207,1.7010214
208,1.7720688
209,1.8022991
210,1.6637242
211,1.5481869
212,1.5057579
213,1.408008
214,1.4124569
215,1.467514
216,1.5188524
217,1.533485
218,1.469025
219,1.6630346
220,1.6795213
221,1.5245938
222,1.3500752
223,1.1753579
224,1.0088755
225,0.9080989
226,0.90521381
227,0.94613043
228,0.96435243
229,1.0245697
230,1.2284163
231,1.3153384
232,1.3734245
233,1.3545781
234,1.0694367
235,0.75064171
236,0.4867503
237,0.23820768
238,-0.015332082
239,-0.24774734
240,-0.45842687
241,-0.60725068
242,-0.77932422
243,-0.90835007
244,-1.0187557
245,-1.084125
246,-1.1038269
247,-1.100227
248,-1.0962133
249,-1.0927827
250,-1.0827159
251,-1.0938413
252,-1.148036
253,-1.2375491
254,-1.3471144
255,-1.4815614
256,-1.5935833
257,-1.6870365
258,-1.7516247
259,-1.7943041
260,-1.8241779
261,-1.8432856
262,-1.8566563
263,-1.8665025
264,-1.8752712
265,-1.8818505
266,-1.887185
267,-1.8920667
268,-1.8968985
269,-1.9005997
270,-1.9043497
271,-1.9077444
272,-1.9099115
273,-1.9127192
274,-1.9163279
275,-1.9181929
276,-1.9201246
277,-1.9223129
278,-1.9242122
279,-1.9269965
280,-1.9287208
281,-1.9300262
282,-1.9323014
283,-1.9336308
284,-1.9349635
285,-1.9360067
286,-0.54846169
287,-0.53368082
288,-0.51472295
289,-0.55925554
290,-0.62680612
291,-0.72728361
292,-0.79633935
293,-0.82955226
294,-0.86309142
295,-0.85818148
296,-0.85428819
297,-0.8542488
298,-0.85245819
299,-0.89271787
300,-0.92984392
301,-0.94271557
302,-0.96331925
303,-0.97768231
304,-0.97121953
305,-0.95016586
306,-0.95354794
307,-0.99647607
308,-1.0082791
309,-1.0023866
310,-1.0243972
311,-1.0403471
312,-1.0285664
313,-0.99147207
314,-0.99760565
315,-1.0457352
316,-1.0623889
317,-1.0516949
318,-1.0340842
319,-1.0212878
320,-1.0140783
321,-1.0040397
322,-0.98191267
323,-0.94186479
324,-0.88278255
325,-0.82554537
326,-0.78309081
327,-0.72440805
328,-0.67347183
329,-0.61660238
330,-0.54499603
331,-0.51884157
332,-0.49441869
333,-0.48074961
334,-0.44860289
335,-0.41588756
336,-0.43377095
337,-0.40087449
338,-0.33471078
339,-0.26653627
340,-0.16016155
341,-0.068833627
342,0.030156818
343,0.14947946
344,0.21055362
345,0.29476309
346,0.3786511
347,0.45044491
348,0.5100221
349,0.51633081
350,0.5504724
351,0.62427517
352,0.59903228
353,0.62397848
354,0.72704477
355,0.77313325
356,0.85044271
357,0.90173487
358,0.9526437
359,0.93172871
360,0.85569516
361,0.85475654
362,0.75876637
363,0.65699661
364,0.69353343
365,0.6814855
366,0.70163656
367,0.78303594
368,0.71807754
369,0.6502845
370,0.63171509
371,0.57755861
372,0.59502888
373,0.62554474
374,0.60776665
375,0.5959914
376,0.69369012
377,0.80348424
378,0.74384496
379,0.66727531
380,0.62878814
381,0.66019373
382,0.67702349
383,0.51682281
384,0.42013419
385,0.44012638
386,0.39959729
387,0.32809209
388,0.33811263
389,0.34277585
390,0.30797442
391,0.3102326
392,0.28920162
393,0.23976565
394,0.24655861
395,0.31859903
396,0.3617036
397,0.40853844
398,0.46171702
399,0.49528444
400,0.53167003
401,0.62291317
402,0.7098104
403,0.743478
404,0.78735414
405,0.80619023
406,0.84085002
407,0.81481963
408,0.79008882
409,0.86378335
410,0.86399143
411,0.82181981
412,0.7204552
413,0.61783083
414,0.53526292
415,0.4434922
416,0.43105636
417,0.41940453
418,0.37485448
419,0.3275967
420,0.27558699
421,0.27100768
422,0.32311931
423,0.31305589
424,0.32346313
425,0.34660662
426,0.32270477
427,0.35272142
428,0.4521563
429,0.58207627
430,0.65530148
431,0.70517665
432,0.80273275
433,0.89645197
434,0.85627108
435,0.83106158
436,1.0438482
437,1.0867006
438,0.98125754
439,0.9599744
440,0.99511147
441,1.0686506
442,1.06601
443,1.0361163
444,0.97937659
445,0.90127156
446,0.87886996
447,0.94101151
448,0.91181913
449,0.79411753
450,0.71782319
451,0.71163615
452,0.73657024
453,0.6698508
454,0.57164174
455,0.44857083
456,0.27045838
457,0.14539521
458,-0.014823582
459,-0.13756049
460,-0.21753884
461,-0.32726781
462,-0.37416681
463,-0.3253539
464,-0.31463632
465,-0.36414759
466,-0.36873715
467,-0.2267363
468,-0.12805979
469,-0.092605297
470,-0.058158063
471,-0.022929661
472,-0.052162742
473,-0.13115675
474,-0.18413749
475,-0.17842184
