Time,root.DiatomSizeReduction.d0.s0
0,1.8552995
1,1.8529332
2,1.8539169
3,1.8315226
4,1.7819324
5,1.7862514
6,1.7411881
7,1.6832761
8,1.6245558
9,1.5707577
10,1.510838
11,1.4557932
12,1.4005464
13,1.3405034
14,1.280479
15,1.2204716
16,1.1604799
17,1.1024459
18,1.052089
19,0.99318202
20,0.93345129
21,0.87374486
22,0.81406352
23,0.75441839
24,0.7035306
25,0.65053211
26,0.59121814
27,0.53195023
28,0.47273262
29,0.42162145
30,0.37269735
31,0.3139245
32,0.25523463
33,0.2080128
34,0.1593545
35,0.10124301
36,0.043237967
37,0.00087498464
38,-0.047746781
39,-0.10498507
40,-0.16209351
41,-0.19844009
42,-0.24727707
43,-0.30336449
44,-0.35759467
45,-0.38825192
46,-0.43757475
47,-0.49214645
48,-0.54647633
49,-0.60051357
50,-0.62780911
51,-0.66915215
52,-0.72139192
53,-0.77252476
54,-0.79048387
55,-0.83170117
56,-0.88120411
57,-0.9246985
58,-0.93532927
59,-0.97657301
60,-1.0225313
61,-1.0678106
62,-1.112353
63,-1.1133539
64,-1.1415006
65,-1.1820476
66,-1.2216484
67,-1.2599651
68,-1.257197
69,-1.2687004
70,-1.3022108
71,-1.3343358
72,-1.3148633
73,-1.3238813
74,-1.3502478
75,-1.3751039
76,-1.3978445
77,-1.3747433
78,-1.363172
79,-1.3799009
80,-1.3946007
81,-1.4070335
82,-1.3818325
83,-1.3485918
84,-1.3551119
85,-1.3590563
86,-1.3175174
87,-1.2829942
88,-1.2813922
89,-1.2776114
90,-1.2717249
91,-1.2640871
92,-1.2393642
93,-1.1687961
94,-1.1538332
95,-1.1393073
96,-1.1232281
97,-1.1056229
98,-1.0861113
99,-1.0649886
100,-1.0143318
101,-0.94685621
102,-0.92233699
103,-0.89620981
104,-0.86889559
105,-0.84042627
106,-0.81083376
107,-0.77979395
108,-0.74766974
109,-0.71455961
110,-0.68049362
111,-0.64534995
112,-0.60913056
113,-0.57208094
114,-0.53422776
115,-0.49559735
116,-0.45592942
117,-0.41556779
118,-0.37453521
119,-0.33285402
120,-0.29040725
121,-0.24727486
122,-0.2035837
123,-0.15935231
124,-0.11456775
125,-0.069120569
126,-0.023207855
127,0.023155204
128,0.067038384
129,0.077309561
130,0.1177145
131,0.1665479
132,0.2157326
133,0.26529729
134,0.28481169
135,0.32268684
136,0.37387236
137,0.42429444
138,0.44539584
139,0.48994085
140,0.52992863
141,0.55469228
142,0.58141894
143,0.61010581
144,0.64035834
145,0.67214826
146,0.70547017
147,0.74082907
148,0.77759661
149,0.79231619
150,0.78035575
151,0.82107054
152,0.86327661
153,0.87558403
154,0.87512101
155,0.92076711
156,0.96796209
157,1.0162722
158,1.0690575
159,1.1282183
160,1.1787725
161,1.2366521
162,1.2928445
163,1.3465007
164,1.4066794
165,1.4609044
166,1.5152049
167,1.5703576
168,1.6249792
169,1.6215067
170,1.6630092
171,1.7215738
172,1.7720129
173,1.7715318
174,1.7718723
175,1.7388533
176,1.6963131
177,1.6987555
178,1.6430146
179,1.5867046
180,1.531209
181,1.4758671
182,1.4155604
183,1.360819
184,1.3039103
185,1.243751
186,1.1836044
187,1.1312514
188,1.0742314
189,1.01769
190,0.97096771
191,0.98186228
192,0.94830338
193,0.90179064
194,0.86699374
195,0.88169635
196,0.84559438
197,0.80414417
198,0.76400333
199,0.72520255
200,0.68834572
201,0.65295587
202,0.61904139
203,0.58663261
204,0.55611465
205,0.52749761
206,0.50051469
207,0.46751285
208,0.41424264
209,0.39054275
210,0.34807155
211,0.30858487
212,0.28657974
213,0.2359268
214,0.1856179
215,0.15354628
216,0.13190761
217,0.083323506
218,0.035231515
219,0.011768861
220,-0.0097306328
221,-0.055834755
222,-0.10131312
223,-0.14626918
224,-0.19071524
225,-0.22734087
226,-0.22734087
227,-0.26381966
228,-0.30492451
229,-0.34538659
230,-0.38518491
231,-0.42399255
232,-0.46205953
233,-0.49936167
234,-0.53587446
235,-0.57136608
236,-0.60583644
237,-0.63940215
238,-0.6720356
239,-0.70364463
240,-0.73388822
241,-0.76307324
242,-0.79117019
243,-0.82249293
244,-0.90318262
245,-0.93969329
246,-0.96331214
247,-0.98562677
248,-1.0064292
249,-1.0254411
250,-1.0430184
251,-1.0591342
252,-1.0757676
253,-1.1478018
254,-1.1743801
255,-1.1840687
256,-1.1920991
257,-1.1981301
258,-1.202084
259,-1.2390675
260,-1.2831786
261,-1.2819161
262,-1.2781637
263,-1.2726422
264,-1.2895386
265,-1.3335154
266,-1.3218776
267,-1.3082233
268,-1.2928663
269,-1.2893157
270,-1.3276435
271,-1.3091797
272,-1.2859119
273,-1.2805396
274,-1.3045582
275,-1.2754449
276,-1.2448666
277,-1.2371922
278,-1.2443769
279,-1.2087979
280,-1.1718234
281,-1.1615394
282,-1.1534976
283,-1.1124036
284,-1.0701158
285,-1.0570658
286,-1.0358385
287,-0.99015149
288,-0.94367132
289,-0.92780412
290,-0.89555255
291,-0.8552551
292,-0.83884069
293,-0.78827613
294,-0.73655239
295,-0.69600465
296,-0.66986989
297,-0.61622483
298,-0.56226249
299,-0.50803828
300,-0.45918643
301,-0.42947217
302,-0.37554628
303,-0.31970483
304,-0.27128572
305,-0.23565936
306,-0.17873374
307,-0.12166844
308,-0.073418668
309,-0.031569365
310,0.026307118
311,0.069430191
312,0.12095688
313,0.17502903
314,0.21909577
315,0.27810712
316,0.33716916
317,0.39093292
318,0.4392911
319,0.4987618
320,0.54918155
321,0.60399595
322,0.66378571
323,0.72360045
324,0.78344583
325,0.83736645
326,0.89186654
327,0.95193906
328,1.0120303
329,1.0721371
330,1.1322571
331,1.1908978
332,1.2440549
333,1.3037784
334,1.3640698
335,1.4224726
336,1.4774101
337,1.5378202
338,1.5948781
339,1.6513519
340,1.6983988
341,1.6959564
342,1.7474931
343,1.8072223
344,1.8072223
345,1.5541114
346,1.5468377
347,1.543311
348,1.5505848
349,1.5286983
350,1.479367
351,1.431406
352,1.383905
353,1.3382233
354,1.2931124
355,1.2494133
356,1.1985396
357,1.141687
358,1.0849066
359,1.0281498
360,0.97148385
361,0.91485106
362,0.85828934
363,0.80179239
364,0.74534318
365,0.68899536
366,0.63267981
367,0.57648413
368,0.52033832
369,0.46428579
370,0.40832765
371,0.35243086
372,0.29668075
373,0.24339611
374,0.20781812
375,0.16499252
376,0.11028083
377,0.055735154
378,0.0012843479
379,-0.05291023
380,-0.10702657
381,-0.16087505
382,-0.20421507
383,-0.23237621
384,-0.27658253
385,-0.32881144
386,-0.38059281
387,-0.43223981
388,-0.48344726
389,-0.52073686
390,-0.5402692
391,-0.58019561
392,-0.628989
393,-0.67700614
394,-0.71705897
395,-0.7276674
396,-0.75429486
397,-0.79900833
398,-0.84285098
399,-0.88636708
400,-0.92857135
401,-0.95981182
402,-0.9568535
403,-0.97414298
404,-1.0116803
405,-1.0478063
406,-1.0834498
407,-1.1170729
408,-1.1500815
409,-1.1814516
410,-1.1838799
411,-1.1606742
412,-1.1753569
413,-1.2001122
414,-1.2221774
415,-1.2433312
416,-1.2623885
417,-1.2796599
418,-1.2955315
419,-1.3086666
420,-1.3209302
421,-1.3299796
422,-1.3378364
423,-1.3433079
424,-1.3466281
425,-1.348459
426,-1.347183
427,-1.3449659
428,-1.3394944
429,-1.3327219
430,-1.3236724
431,-1.3124627
432,-1.2999357
433,-1.2844695
434,-1.2681635
435,-1.2491061
436,-1.2288638
437,-1.2067986
438,-1.1828973
439,-1.1580139
440,-1.1307462
441,-1.1028356
442,-1.0729023
443,-1.0420204
444,-1.0098514
445,-1.0078975
446,-1.0200441
447,-0.98551791
448,-0.94764805
449,-0.90842228
450,-0.86850162
451,-0.82774708
452,-0.81404815
453,-0.8112866
454,-0.7678444
455,-0.72288609
456,-0.67709535
457,-0.63083412
458,-0.58407301
459,-0.56101823
460,-0.5461881
461,-0.49666367
462,-0.44696961
463,-0.39678661
464,-0.36072183
465,-0.33794478
466,-0.29240948
467,-0.2401673
468,-0.18750081
469,-0.1347202
470,-0.081657297
471,-0.028398031
472,0.02502487
473,0.060820776
474,0.093701527
475,0.14841322
476,0.20320066
477,0.25815039
478,0.31322546
479,0.36839289
480,0.4237266
481,0.47911023
482,0.53466049
483,0.59026955
484,0.64598853
485,0.70180182
486,0.75767642
487,0.8136752
488,0.86776918
489,0.90791124
490,0.95431235
491,1.0109783
492,1.0677058
493,1.1244685
494,1.1691981
495,1.2128096
496,1.2581549
497,1.3042906
498,1.3515679
499,1.4000614
500,1.4491631
501,1.4998554
502,1.5403527
503,1.5343863
504,1.5547088
505,1.6085723
506,1.6226274
507,1.6193745
508,1.6173618
509,1.6156843
510,1.6150328
511,1.6149933
512,1.6156448
513,1.6172434
514,1.619197
515,1.5648032
516,1.5240663
517,1.5287164
518,1.5048933
519,1.4525969
520,1.4455555
521,1.452139
522,1.4030373
523,1.3544332
524,1.3071559
525,1.2609031
526,1.2155578
527,1.1608876
528,1.1043567
529,1.0614729
530,1.0144126
531,0.95774665
532,0.91034409
533,0.87020203
534,0.81707025
535,0.76106276
536,0.70518816
537,0.64936544
538,0.59364646
539,0.53802718
540,0.48247691
541,0.42708217
542,0.37173637
543,0.31656894
544,0.26148067
545,0.20653094
546,0.15172908
547,0.097017388
548,0.062728188
549,0.028262621
550,-0.025160279
551,-0.078441363
552,-0.13150427
553,-0.1843089
554,-0.2369754
555,-0.28924409
556,-0.33656435
557,-0.3593414
558,-0.39374522
559,-0.44392821
560,-0.49366219
561,-0.54318661
562,-0.59202431
563,-0.63372767
564,-0.64652553
565,-0.67432015
566,-0.7201109
567,-0.76513449
568,-0.80984796
569,-0.85340034
570,-0.88702641
571,-0.88702641
572,-0.90604496
573,-0.94527073
574,-0.98324293
575,-1.0207802
576,-1.0086336
577,-1.0079017
578,-1.0400708
579,-1.0710881
580,-1.1010214
581,-1.1290792
582,-1.1548699
583,-1.1257676
584,-1.1110709
585,-1.1320088
586,-1.1513694
587,-1.1694156
588,-1.1850168
589,-1.1998256
590,-1.2116472
591,-1.2224211
592,-1.2309503
593,-1.2038242
594,-1.1504258
595,-1.1428826
596,-1.1442144
597,-1.1425866
598,-1.1398295
599,-1.134961
600,-1.1281553
601,-1.1200904
602,-1.1093267
603,-1.0977697
604,-1.0835507
605,-1.0682283
606,-1.0510962
607,-1.066844
608,-1.1013803
609,-1.0838883
610,-1.0598362
611,-1.033616
612,-1.0064214
613,-0.97781963
614,-0.98027284
615,-0.99825356
616,-0.9679873
617,-0.93342499
618,-0.89732644
619,-0.86047453
620,-0.82266143
621,-0.81312763
622,-0.81588919
623,-0.77579208
624,-0.73338852
625,-0.68999858
626,-0.66335433
627,-0.65561649
628,-0.61949809
629,-0.57273698
630,-0.52511384
631,-0.48497277
632,-0.46825461
633,-0.43480403
634,-0.38462104
635,-0.3339876
636,-0.28320188
637,-0.23188631
638,-0.18043768
639,-0.12863423
640,-0.09006963
641,-0.063230866
642,-0.015447025
643,0.037990771
644,0.091741373
645,0.14558258
646,0.19963217
647,0.25383504
648,0.30815804
649,0.36268604
650,0.41727702
651,0.47208066
652,0.52052242
653,0.55624042
654,0.60377718
655,0.65949617
656,0.71534718
657,0.77123702
658,0.82725541
659,0.88332221
660,0.93947372
661,0.99570192
662,1.0519769
663,1.1083526
664,1.1627265
665,1.2043336
666,1.2467649
667,1.290464
668,1.3354547
669,1.3811364
670,1.4285237
671,1.4763772
672,1.5257086
673,1.5510256
674,1.5437519
675,1.5373695
676,1.531403
677,1.5266732
678,1.5222838
679,1.5189572
680,1.5162345
681,1.5142365
682,1.5131868
683,1.5125204
684,1.5131464
685,1.5141154
686,1.5161134
687,1.5187556
688,1.5220822
689,1.5220822
690,1.9319422
691,1.9304802
692,1.9306454
693,1.9257272
694,1.8707128
695,1.81643
696,1.7627678
697,1.7099938
698,1.653684
699,1.5983692
700,1.5469133
701,1.490344
702,1.4331834
703,1.3760913
704,1.3262252
705,1.2771604
706,1.227701
707,1.1709128
708,1.1209437
709,1.0745918
710,1.0294687
711,0.98567788
712,0.93790689
713,0.88199275
714,0.83928766
715,0.7988644
716,0.75920633
717,0.70419741
718,0.65956631
719,0.62039663
720,0.56602861
721,0.51176228
722,0.45758094
723,0.40351968
724,0.36636696
725,0.3262427
726,0.27303601
727,0.22002845
728,0.16714999
729,0.1144025
730,0.061901019
731,0.0095576716
732,-0.042631399
733,-0.094567577
734,-0.14628351
735,-0.19781642
736,-0.24909226
737,-0.2775716
738,-0.31032743
739,-0.36004762
740,-0.40932902
741,-0.45832546
742,-0.50703216
743,-0.55519414
744,-0.58321349
745,-0.60190092
746,-0.64779572
747,-0.69314639
748,-0.7380483
749,-0.78232554
750,-0.79405835
751,-0.81216517
752,-0.85339115
753,-0.893567
754,-0.91195019
755,-0.9090263
756,-0.94538493
757,-0.98086731
758,-1.0081074
759,-0.99356087
760,-1.0110439
761,-1.0410416
762,-1.0697111
763,-1.0967857
764,-1.1026821
765,-1.0746881
766,-1.0931554
767,-1.1136304
768,-1.1328565
769,-1.1498617
770,-1.16539
771,-1.1795496
772,-1.1915997
773,-1.2017818
774,-1.2105028
775,-1.2173012
776,-1.2218506
777,-1.2248862
778,-1.2262551
779,-1.2250351
780,-1.2222963
781,-1.2180407
782,-1.2112424
783,-1.2028103
784,-1.1929105
785,-1.1808605
786,-1.1669752
787,-1.1517116
788,-1.1347064
789,-1.1157347
790,-1.0955028
791,-1.0739243
792,-1.0503168
793,-1.0514557
794,-1.07283
795,-1.0441604
796,-1.0143601
797,-0.9835717
798,-0.9513927
799,-0.95162307
800,-0.94934026
801,-0.91298163
802,-0.87547161
803,-0.85398045
804,-0.85623851
805,-0.81665
806,-0.77488432
807,-0.73531929
808,-0.72891881
809,-0.69805492
810,-0.65278846
811,-0.60689366
812,-0.58473863
813,-0.56043352
814,-0.51227154
815,-0.46362615
816,-0.41468605
817,-0.36544255
818,-0.34277813
819,-0.30560523
820,-0.25467039
821,-0.20339455
822,-0.15189898
823,-0.10021754
824,-0.048281359
825,0.0038757924
826,0.05618956
827,0.10869104
828,0.16141108
829,0.21426403
830,0.2672524
831,0.32045453
832,0.36278751
833,0.39763854
834,0.4516998
835,0.50586389
836,0.55642578
837,0.59280387
838,0.64328231
839,0.69310725
840,0.7320594
841,0.77272192
842,0.81443386
843,0.85720726
844,0.90173497
845,0.9527724
846,1.0082464
847,1.0547356
848,1.1022534
849,1.1522083
850,1.2091667
851,1.260543
852,1.312676
853,1.3698146
854,1.4269659
855,1.4815643
856,1.5329024
857,1.590162
858,1.6449065
859,1.6977194
860,1.7515754
861,1.8061725
862,1.8613773
863,1.9174068
864,1.9294524
865,1.9100389
866,1.8530096
867,1.7968948
868,1.7413749
869,1.686456
870,1.6326678
871,1.576871
872,1.5195009
873,1.4621359
874,1.4081159
875,1.3545988
876,1.2973429
877,1.2450428
878,1.1919766
879,1.1348695
880,1.0847218
881,1.0360464
882,0.98822049
883,0.94198046
884,0.89670212
885,0.85237512
886,0.80960171
887,0.7579649
888,0.70583736
889,0.66533836
890,0.62643949
891,0.58222933
892,0.52745709
893,0.48988738
894,0.44559246
895,0.39153475
896,0.33764334
897,0.29626587
898,0.26126627
899,0.20827789
900,0.15545144
