Time,root.DistalPhalanxOutlineAgeGroup.d0.s0
0,-0.7529502
1,-0.68152381
2,-0.43320815
3,-0.19654537
4,0.1153163
5,0.44251956
6,0.70483547
7,0.95834884
8,1.0120025
9,1.296702
10,1.2558749
11,1.2951091
12,1.3714817
13,1.2998038
14,1.1241721
15,0.98718766
16,0.88750929
17,0.82857414
18,0.62527721
19,0.53825775
20,0.26747462
21,-0.098459845
22,-0.50882622
23,-0.5482281
24,-0.5122634
25,-0.66324805
26,-0.69342821
27,-0.46892134
28,-0.15965851
29,0.20518612
30,0.43363318
31,0.79235795
32,1.1544361
33,1.4815555
34,1.4331834
35,1.3096124
36,1.2324853
37,1.2869773
38,1.3112891
39,1.298714
40,1.2424615
41,1.3601642
42,1.4190155
43,1.5238077
44,1.2061615
45,0.76435746
46,0.37654238
47,0.00021251864
48,-0.32179305
49,-0.63809791
50,-0.25908538
51,-0.1760061
52,-0.40562683
53,-0.61353462
54,-0.79109457
55,-1.1293639
56,-1.4806274
57,-1.745559
58,-1.7959263
59,-1.5785788
60,-1.283115
61,-0.95834297
62,-0.62560668
63,-0.46447815
64,-0.1703054
65,-0.056878288
66,-0.24198328
67,-0.49977217
68,-0.74238714
69,-0.96211549
70,-1.2567912
71,-1.3965422
72,-1.5732554
73,-1.7190088
74,-1.5854029
75,-1.4791184
76,-1.1563584
77,-0.89907248
78,-0.71497349
79,-0.40453699
80,-0.79174844
81,-0.75581593
82,-0.4806166
83,-0.18022809
84,0.16015961
85,0.53368776
86,0.78928202
87,0.95668382
88,1.1665127
89,1.2755848
90,1.3962501
91,1.4233209
92,1.4219855
93,1.301988
94,1.2253886
95,0.78612579
96,0.52585787
97,0.23299577
98,0.19712396
99,0.16811089
100,-0.051611558
101,-0.39369877
102,-0.77190058
103,-0.86986523
104,-0.78076231
105,-0.8684692
106,-0.62446803
107,-0.29391322
108,0.034517213
109,0.42042752
110,0.69532336
111,0.806702
112,1.1922481
113,1.5314219
114,1.4344284
115,1.4325468
116,1.394065
117,1.5486598
118,1.5654121
119,1.7067143
120,1.6911152
121,1.4798296
122,1.2205328
123,0.81028312
124,0.60506721
125,0.66157594
126,0.3067424
127,-0.062536984
128,-0.44923635
129,-0.72291826
130,-0.24165326
131,-0.30775209
132,-0.53597209
133,-0.80655846
134,-0.90907537
135,-1.1508308
136,-1.472281
137,-1.5742638
138,-1.5497605
139,-1.4764084
140,-1.2001166
141,-0.8208829
142,-0.55011444
143,-0.32395814
144,0.022135064
145,0.096731441
146,-0.0014759946
147,-0.18599429
148,-0.49032809
149,-0.72747052
150,-1.0084967
151,-1.2805398
152,-1.514089
153,-1.6750994
154,-1.6034165
155,-1.5093729
156,-1.2496452
157,-0.93268642
158,-0.6878355
159,-0.33366963
160,-0.79481169
161,-0.70601418
162,-0.67962126
163,-0.40566276
164,-0.20331705
165,0.085597442
