Time,root.DistalPhalanxOutlineCorrect.d0.s0
0,-0.7529502
1,-0.68152381
2,-0.43320815
3,-0.19654537
4,0.1153163
5,0.44251956
6,0.70483547
7,0.95834884
8,1.0120025
9,1.296702
10,1.2558749
11,1.2951091
12,1.3714817
13,1.2998038
14,1.1241721
15,0.98718766
16,0.88750929
17,0.82857414
18,0.62527721
19,0.53825775
20,0.26747462
21,-0.098459845
22,-0.50882622
23,-0.5482281
24,-0.5122634
25,-0.66324805
26,-0.69342821
27,-0.46892134
28,-0.15965851
29,0.20518612
30,0.43363318
31,0.79235795
32,1.1544361
33,1.4815555
34,1.4331834
35,1.3096124
36,1.2324853
37,1.2869773
38,1.3112891
39,1.298714
40,1.2424615
41,1.3601642
42,1.4190155
43,1.5238077
44,1.2061615
45,0.76435746
46,0.37654238
47,0.00021251864
48,-0.32179305
49,-0.63809791
50,-0.25908538
51,-0.1760061
52,-0.40562683
53,-0.61353462
54,-0.79109457
55,-1.1293639
56,-1.4806274
57,-1.745559
58,-1.7959263
59,-1.5785788
60,-1.283115
61,-0.95834297
62,-0.62560668
63,-0.46447815
64,-0.1703054
65,-0.056878288
66,-0.24198328
67,-0.49977217
68,-0.74238714
69,-0.96211549
70,-1.2567912
71,-1.3965422
72,-1.5732554
73,-1.7190088
74,-1.5854029
75,-1.4791184
76,-1.1563584
77,-0.89907248
78,-0.71497349
79,-0.40453699
80,-0.69243928
81,-0.60751669
82,-0.52804854
83,-0.23820569
84,0.079288137
85,0.22170961
86,0.46958358
87,0.8273039
88,1.191918
89,1.2632045
90,1.3985807
91,1.3789598
92,1.3286578
93,1.0178305
94,0.79215307
95,0.77730487
96,0.61889886
97,0.49299222
98,0.091712137
99,-0.20479725
100,-0.45138336
101,-0.73221124
102,-0.63175865
103,-0.51509425
104,-0.39115726
105,-0.080632997
106,0.13118107
107,0.4469325
108,0.7398056
109,1.1109347
110,1.4291104
111,1.4409283
112,1.2306294
113,1.3128248
114,1.1849485
115,1.1144953
116,1.2057056
117,1.3296426
118,1.4119137
119,1.610016
120,1.7689523
121,1.8186483
122,1.4694126
123,1.0937381
124,0.69109442
125,0.3922366
126,0.14140814
127,-0.093663047
128,-0.41289926
129,-0.69039387
130,-0.27259896
131,-0.45085307
132,-0.61834982
133,-0.84811808
134,-1.0726592
135,-1.359843
136,-1.5384304
137,-1.5220519
138,-1.5413394
139,-1.363858
140,-1.1397791
141,-0.90728359
142,-0.67213665
143,-0.53698776
144,-0.45130761
145,-0.50350356
146,-0.67024275
147,-0.82061861
148,-0.9471313
149,-1.1397033
150,-1.1931795
151,-1.4117889
152,-1.6003004
153,-1.5778084
154,-1.3758654
155,-1.0900073
156,-0.856527
157,-0.58532015
158,-0.38403619
159,-0.30282565
160,-0.75817817
161,-0.66446951
162,-0.44165113
163,-0.13191933
164,0.19041655
165,0.45822605
