Time,root.DistalPhalanxTW.d0.s0
0,-0.41366588
1,-0.34416195
2,-0.18699477
3,0.063603928
4,0.3446818
5,0.5920047
6,0.840467
7,0.92969694
8,1.0996825
9,1.2481261
10,1.3553017
11,1.3985992
12,1.3935787
13,1.2839462
14,1.1608189
15,1.0612986
16,0.94297818
17,0.80236803
18,0.6384
19,0.40329014
20,0.15229977
21,-0.10246489
22,-0.35003703
23,-0.41405755
24,-0.45660734
25,-0.28099598
26,-0.075119077
27,0.17494552
28,0.43216703
29,0.5827114
30,0.83793894
31,1.1065901
32,1.3912643
33,1.4095304
34,1.3410947
35,1.279531
36,1.30912
37,1.2843735
38,1.3425546
39,1.3718587
40,1.4420036
41,1.4047235
42,1.2946282
43,1.0285406
44,0.77185324
45,0.51520143
46,0.25135711
47,0.039462707
48,-0.20255482
49,-0.42278115
50,-1.1024384
51,-1.1024384
52,-1.1024384
53,-1.1024384
54,-1.1024384
55,-1.1024384
56,-1.1024384
57,-1.1024384
58,-1.1024384
59,-1.1024384
60,-1.1024384
61,-1.1024384
62,-1.1024384
63,-1.1024384
64,-1.1024384
65,-1.1024384
66,-1.1024384
67,-1.1024384
68,-1.1024384
69,-1.1024384
70,-1.1024384
71,-1.1024384
72,-1.1024384
73,-1.1024384
74,-1.1024384
75,-1.1024384
76,-1.1024384
77,-1.1024384
78,-1.1024384
79,-1.1024384
80,-0.42677159
81,-0.36408809
82,-0.18085247
83,0.049814474
84,0.30458585
85,0.55514045
86,0.71050344
87,0.90139506
88,1.0303807
89,1.2291676
90,1.3776223
91,1.4950043
92,1.4344142
93,1.2911932
94,1.2003978
95,1.0378274
96,0.85838987
97,0.66002169
98,0.4300725
99,0.35722086
100,0.17509177
101,-0.093316859
102,-0.32371464
103,-0.43981072
104,-0.43879391
105,-0.2426986
106,-0.039964101
107,0.20395131
108,0.4559115
109,0.68822328
110,0.9029801
111,1.1563758
112,1.3505571
113,1.334647
114,1.2904754
115,1.3170322
116,1.337189
117,1.3922165
118,1.3852783
119,1.3946987
120,1.4666831
121,1.425233
122,1.2184612
123,1.0492516
124,0.79319424
125,0.55206011
126,0.31612967
127,0.036775347
128,-0.18306553
129,-0.35290315
130,-1.1026529
131,-1.1026529
132,-1.1026529
133,-1.1026529
134,-1.1026529
135,-1.1026529
136,-1.1026529
137,-1.1026529
138,-1.1026529
139,-1.1026529
140,-1.1026529
141,-1.1026529
142,-1.1026529
143,-1.1026529
144,-1.1026529
145,-1.1026529
146,-1.1026529
147,-1.1026529
148,-1.1026529
149,-1.1026529
150,-1.1026529
151,-1.1026529
152,-1.1026529
153,-1.1026529
154,-1.1026529
155,-1.1026529
156,-1.1026529
157,-1.1026529
158,-1.1026529
159,-1.1026529
160,-0.44556575
161,-0.42576962
162,-0.23348726
163,-0.0091525021
164,0.17353659
165,0.39443831
166,0.57157679
167,0.79629656
168,0.98989438
169,1.1643057
170,1.2733609
171,1.3720528
172,1.3675288
173,1.2700562
174,1.1392156
175,0.95970287
176,0.83466961
177,0.69439622
178,0.56573741
179,0.34515653
180,0.072598781
181,-0.18516802
182,-0.35672379
183,-0.41117118
184,-0.32364468
185,-0.16235595
186,0.045744062
187,0.29427053
188,0.54343869
189,0.79295977
190,1.042545
191,1.2941516
192,1.474691
193,1.4266926
194,1.2869647
195,1.2768581
196,1.2599175
197,1.350107
198,1.3986187
199,1.3528341
200,1.373304
201,1.4573012
202,1.340995
203,1.1578888
204,0.89922361
205,0.62948929
206,0.36139129
207,0.12191264
208,-0.098219049
209,-0.32996533
210,-1.1061533
211,-1.1061533
212,-1.1061533
213,-1.1061533
214,-1.1061533
215,-1.1061533
216,-1.1061533
217,-1.1061533
218,-1.1061533
219,-1.1061533
220,-1.1061533
221,-1.1061533
222,-1.1061533
223,-1.1061533
224,-1.1061533
225,-1.1061533
226,-1.1061533
227,-1.1061533
228,-1.1061533
229,-1.1061533
230,-1.1061533
231,-1.1061533
232,-1.1061533
233,-1.1061533
234,-1.1061533
235,-1.1061533
236,-1.1061533
237,-1.1061533
238,-1.1061533
239,-1.1061533
240,-0.47655139
241,-0.47510101
242,-0.3362273
243,-0.098393168
244,0.15199231
245,0.40731466
246,0.67594143
247,0.9617775
248,1.124192
249,1.2561485
250,1.4095818
251,1.4504992
252,1.3782034
253,1.2461632
254,1.1002049
255,0.93731631
256,0.75551699
257,0.49096243
258,0.28252635
259,0.0049741696
260,-0.24496504
261,-0.44140761
262,-0.49272868
263,-0.41281842
264,-0.23046126
265,-0.026906258
266,0.20172355
