Time,root.DodgerLoopDay.d0.s0
0,12.0
1,18.0
2,11.0
3,11.0
4,19.0
5,17.0
6,4.0
7,6.0
8,8.0
9,12.0
10,11.0
11,6.0
12,10.0
13,10.0
14,9.0
15,5.0
16,5.0
17,8.0
18,10.0
19,1.0
20,6.0
21,9.0
22,11.0
23,5.0
24,12.0
25,7.0
26,10.0
27,10.0
28,5.0
29,10.0
30,11.0
31,10.0
32,12.0
33,4.0
34,6.0
35,8.0
36,6.0
37,9.0
38,4.0
39,4.0
40,8.0
41,7.0
42,4.0
43,1.0
44,2.0
45,7.0
46,4.0
47,7.0
48,3.0
49,5.0
50,1.0
51,4.0
52,9.0
53,4.0
54,2.0
55,3.0
56,3.0
57,1.0
58,1.0
59,1.0
60,3.0
61,5.0
62,3.0
63,6.0
64,2.0
65,4.0
66,7.0
67,4.0
68,4.0
69,3.0
70,1.0
71,4.0
72,3.0
73,1.0
74,6.0
75,3.0
76,4.0
77,5.0
78,6.0
79,9.0
80,8.0
81,3.0
82,2.0
83,6.0
84,10.0
85,8.0
86,7.0
87,8.0
88,9.0
89,0.0
90,13.0
91,6.0
92,6.0
93,14.0
94,10.0
95,14.0
96,10.0
97,10.0
98,9.0
99,11.0
100,12.0
101,8.0
102,14.0
103,11.0
104,11.0
105,18.0
106,20.0
107,18.0
108,24.0
109,17.0
110,10.0
111,11.0
112,12.0
113,20.0
114,21.0
115,21.0
116,20.0
117,18.0
118,31.0
119,17.0
120,19.0
121,24.0
122,20.0
123,19.0
124,19.0
125,19.0
126,18.0
127,15.0
128,19.0
129,19.0
130,18.0
131,24.0
132,18.0
133,13.0
134,23.0
135,23.0
136,23.0
137,20.0
138,9.0
139,32.0
140,45.0
141,29.0
142,24.0
143,21.0
144,18.0
145,20.0
146,28.0
147,24.0
148,15.0
149,25.0
150,16.0
151,38.0
152,25.0
153,25.0
154,21.0
155,20.0
156,28.0
157,23.0
158,19.0
159,19.0
160,23.0
161,14.0
162,32.0
163,27.0
164,29.0
165,30.0
166,33.0
167,20.0
168,37.0
169,26.0
170,42.0
171,35.0
172,33.0
173,23.0
174,24.0
175,36.0
176,28.0
177,26.0
178,28.0
179,27.0
180,30.0
181,13.0
182,24.0
183,33.0
184,22.0
185,22.0
186,29.0
187,29.0
188,36.0
189,24.0
190,24.0
191,19.0
192,24.0
193,26.0
194,22.0
195,21.0
196,18.0
197,42.0
198,25.0
199,26.0
200,31.0
201,29.0
202,21.0
203,22.0
204,29.0
205,26.0
206,13.0
207,20.0
208,34.0
209,18.0
210,28.0
211,22.0
212,33.0
213,14.0
214,32.0
215,25.0
216,27.0
217,29.0
218,24.0
219,21.0
220,31.0
221,25.0
222,23.0
223,30.0
224,30.0
225,28.0
226,17.0
227,32.0
228,17.0
229,21.0
230,21.0
231,23.0
232,15.0
233,21.0
234,20.0
235,19.0
236,26.0
237,23.0
238,23.0
239,18.0
240,20.0
241,20.0
242,23.0
243,21.0
244,14.0
245,18.0
246,26.0
247,21.0
248,22.0
249,26.0
250,12.0
251,16.0
252,20.0
253,16.0
254,15.0
255,19.0
256,14.0
257,14.0
258,15.0
259,19.0
260,13.0
261,17.0
262,17.0
263,18.0
264,12.0
265,13.0
266,14.0
267,14.0
268,13.0
269,7.0
270,10.0
271,11.0
272,12.0
273,13.0
274,11.0
275,7.0
276,16.0
277,9.0
278,10.0
279,9.0
280,11.0
281,8.0
282,4.0
283,7.0
284,3.0
285,6.0
286,3.0
287,6.0
288,12.0
289,9.0
290,11.0
291,7.0
292,12.0
293,14.0
294,10.0
295,10.0
296,10.0
297,6.0
298,10.0
299,14.0
300,12.0
301,18.0
302,12.0
303,13.0
304,13.0
305,10.0
306,11.0
307,9.0
308,6.0
309,9.0
310,9.0
311,13.0
312,18.0
313,8.0
314,7.0
315,10.0
316,13.0
317,10.0
318,10.0
319,10.0
320,7.0
321,13.0
322,6.0
323,7.0
324,7.0
325,7.0
326,15.0
327,7.0
328,9.0
329,5.0
330,9.0
331,8.0
332,4.0
333,1.0
334,5.0
335,7.0
336,8.0
337,1.0
338,4.0
339,6.0
340,3.0
341,3.0
342,11.0
343,9.0
344,9.0
345,4.0
346,3.0
347,6.0
348,1.0
349,1.0
350,4.0
351,4.0
352,3.0
353,3.0
354,4.0
355,1.0
356,5.0
357,5.0
358,3.0
359,6.0
360,5.0
361,2.0
362,9.0
363,5.0
364,6.0
365,1.0
366,7.0
367,7.0
368,6.0
369,7.0
370,3.0
371,8.0
372,9.0
373,5.0
374,8.0
375,6.0
376,8.0
377,7.0
378,5.0
379,8.0
380,4.0
381,12.0
382,7.0
383,7.0
384,10.0
385,17.0
386,22.0
387,7.0
388,9.0
389,9.0
390,20.0
391,10.0
392,9.0
393,8.0
394,18.0
395,11.0
396,12.0
397,11.0
398,13.0
399,24.0
400,8.0
401,14.0
402,6.0
403,22.0
404,21.0
405,20.0
406,14.0
407,20.0
408,21.0
409,24.0
410,24.0
411,20.0
412,17.0
413,17.0
414,17.0
415,16.0
416,26.0
417,32.0
418,14.0
419,14.0
420,22.0
421,10.0
422,12.0
423,22.0
424,20.0
425,20.0
426,27.0
427,30.0
428,34.0
429,25.0
430,27.0
431,21.0
432,21.0
433,30.0
434,18.0
435,20.0
436,19.0
437,7.0
438,21.0
439,13.0
440,30.0
441,22.0
442,28.0
443,18.0
444,21.0
445,19.0
446,19.0
447,27.0
448,26.0
449,25.0
450,19.0
451,29.0
452,18.0
453,30.0
454,25.0
455,20.0
456,24.0
457,17.0
458,24.0
459,31.0
460,29.0
461,26.0
462,29.0
463,22.0
464,37.0
465,17.0
466,28.0
467,26.0
468,23.0
469,35.0
470,32.0
471,21.0
472,23.0
473,25.0
474,11.0
475,29.0
476,21.0
477,24.0
478,29.0
479,24.0
480,24.0
481,14.0
482,23.0
483,25.0
484,22.0
485,23.0
486,16.0
487,22.0
488,25.0
489,20.0
490,12.0
491,14.0
492,23.0
493,20.0
494,21.0
495,26.0
496,21.0
497,14.0
498,30.0
499,20.0
500,20.0
501,32.0
502,33.0
503,20.0
504,17.0
505,31.0
506,23.0
507,24.0
508,26.0
509,24.0
510,22.0
511,29.0
512,34.0
513,18.0
514,17.0
515,21.0
516,23.0
517,15.0
518,19.0
519,24.0
520,20.0
521,22.0
522,20.0
523,26.0
524,19.0
525,20.0
526,14.0
527,18.0
528,21.0
529,20.0
530,21.0
531,16.0
532,22.0
533,16.0
534,26.0
535,17.0
536,15.0
537,20.0
538,13.0
539,19.0
540,17.0
541,21.0
542,6.0
543,21.0
544,17.0
545,21.0
546,14.0
547,24.0
548,18.0
549,12.0
550,11.0
551,11.0
552,16.0
553,11.0
554,15.0
555,25.0
556,10.0
557,16.0
558,11.0
559,12.0
560,7.0
561,5.0
562,12.0
563,14.0
564,8.0
565,3.0
566,4.0
567,7.0
568,9.0
569,11.0
570,6.0
571,9.0
572,7.0
573,10.0
574,4.0
575,9.0
576,8.0
577,5.0
578,10.0
579,11.0
580,9.0
581,10.0
582,7.0
583,18.0
584,11.0
585,8.0
586,8.0
587,8.0
588,6.0
589,3.0
590,7.0
591,9.0
592,8.0
593,7.0
594,9.0
595,7.0
596,4.0
597,9.0
598,6.0
599,5.0
600,13.0
601,5.0
602,11.0
603,7.0
604,7.0
605,8.0
606,8.0
607,7.0
608,3.0
609,3.0
610,4.0
611,11.0
612,6.0
613,3.0
614,5.0
615,4.0
616,6.0
617,7.0
618,0.0
619,4.0
620,2.0
621,2.0
622,4.0
623,4.0
624,4.0
625,2.0
626,3.0
627,2.0
628,3.0
629,4.0
630,1.0
631,7.0
632,4.0
633,6.0
634,4.0
635,2.0
636,5.0
637,4.0
638,2.0
639,1.0
640,2.0
641,3.0
642,4.0
643,3.0
644,4.0
645,3.0
646,4.0
647,6.0
648,5.0
649,3.0
650,6.0
651,4.0
652,3.0
653,6.0
654,4.0
655,4.0
656,5.0
657,6.0
658,6.0
659,7.0
660,6.0
661,4.0
662,6.0
663,7.0
664,7.0
665,6.0
666,4.0
667,12.0
668,7.0
669,9.0
670,5.0
671,9.0
672,6.0
673,11.0
674,17.0
675,9.0
676,12.0
677,7.0
678,18.0
679,15.0
680,15.0
681,10.0
682,13.0
683,17.0
684,16.0
685,14.0
686,14.0
687,16.0
688,16.0
689,20.0
690,9.0
691,26.0
692,17.0
693,16.0
694,16.0
695,22.0
696,23.0
697,16.0
698,13.0
699,21.0
700,23.0
701,22.0
702,28.0
703,31.0
704,21.0
705,16.0
706,22.0
707,25.0
708,25.0
709,15.0
710,27.0
711,27.0
712,24.0
713,22.0
714,24.0
715,21.0
716,23.0
717,32.0
718,18.0
719,30.0
720,27.0
721,30.0
722,31.0
723,33.0
724,36.0
725,21.0
726,37.0
727,18.0
728,19.0
729,18.0
730,21.0
731,29.0
732,23.0
733,17.0
734,24.0
735,21.0
736,33.0
737,27.0
738,33.0
739,26.0
740,29.0
741,26.0
742,32.0
743,32.0
744,22.0
745,34.0
746,38.0
747,33.0
748,29.0
749,42.0
750,41.0
751,30.0
752,19.0
753,31.0
754,28.0
755,24.0
756,23.0
757,22.0
758,19.0
759,32.0
760,28.0
761,23.0
762,22.0
763,16.0
764,30.0
765,16.0
766,24.0
767,22.0
768,20.0
769,25.0
770,22.0
771,16.0
772,27.0
773,26.0
774,22.0
775,27.0
776,33.0
777,29.0
778,23.0
779,24.0
780,15.0
781,33.0
782,23.0
783,21.0
784,23.0
785,23.0
786,24.0
787,31.0
788,33.0
789,30.0
790,35.0
791,24.0
792,17.0
793,27.0
794,33.0
795,28.0
796,21.0
797,25.0
798,20.0
799,22.0
800,32.0
801,25.0
802,21.0
803,26.0
804,20.0
805,21.0
806,24.0
807,27.0
808,29.0
809,26.0
810,22.0
811,27.0
812,24.0
813,14.0
814,21.0
815,16.0
816,16.0
817,20.0
818,25.0
819,15.0
820,19.0
821,17.0
822,18.0
823,23.0
824,24.0
825,22.0
826,23.0
827,15.0
828,24.0
829,17.0
830,9.0
831,13.0
832,15.0
833,17.0
834,13.0
835,16.0
836,17.0
837,20.0
838,14.0
839,21.0
840,16.0
841,21.0
842,19.0
843,8.0
844,8.0
845,23.0
846,9.0
847,12.0
848,9.0
849,10.0
850,11.0
851,6.0
852,6.0
853,11.0
854,13.0
855,7.0
856,6.0
857,7.0
858,1.0
859,2.0
860,6.0
861,7.0
862,8.0
863,6.0
864,16.0
865,15.0
866,13.0
867,14.0
868,8.0
869,16.0
870,14.0
871,9.0
872,9.0
873,8.0
874,9.0
875,9.0
876,10.0
877,14.0
878,8.0
879,6.0
880,8.0
881,13.0
882,5.0
883,4.0
884,10.0
885,8.0
886,9.0
887,6.0
888,11.0
889,7.0
890,12.0
891,5.0
892,11.0
893,3.0
894,8.0
895,2.0
896,7.0
897,2.0
898,7.0
899,6.0
900,6.0
901,6.0
902,1.0
903,3.0
904,6.0
905,3.0
906,6.0
907,3.0
908,0.0
909,8.0
910,6.0
911,7.0
912,5.0
913,2.0
914,1.0
915,2.0
916,2.0
917,2.0
918,4.0
919,1.0
920,7.0
921,1.0
922,6.0
923,4.0
924,4.0
925,3.0
926,3.0
927,4.0
928,8.0
929,3.0
930,4.0
931,4.0
932,4.0
933,3.0
934,3.0
935,3.0
936,5.0
937,8.0
938,6.0
939,7.0
940,4.0
941,8.0
942,6.0
943,9.0
944,5.0
945,7.0
946,6.0
947,15.0
948,6.0
949,4.0
950,9.0
951,6.0
952,17.0
953,9.0
954,10.0
955,9.0
956,7.0
957,17.0
958,9.0
959,8.0
960,9.0
961,16.0
962,17.0
963,9.0
964,8.0
965,15.0
966,15.0
967,11.0
968,18.0
969,15.0
970,28.0
971,19.0
972,15.0
973,18.0
974,19.0
975,24.0
976,14.0
977,22.0
978,13.0
979,20.0
980,30.0
981,24.0
982,28.0
983,20.0
984,34.0
985,24.0
986,28.0
987,23.0
988,25.0
989,25.0
990,26.0
991,22.0
992,29.0
993,22.0
994,20.0
995,25.0
996,24.0
997,27.0
998,24.0
999,20.0
1000,20.0
1001,26.0
1002,27.0
1003,16.0
1004,22.0
1005,26.0
1006,33.0
1007,19.0
1008,19.0
1009,24.0
1010,21.0
1011,34.0
1012,11.0
1013,37.0
1014,22.0
1015,27.0
1016,28.0
1017,25.0
1018,20.0
1019,30.0
1020,27.0
1021,25.0
1022,30.0
1023,35.0
1024,44.0
1025,20.0
1026,37.0
1027,28.0
1028,19.0
1029,30.0
1030,37.0
1031,33.0
1032,41.0
1033,32.0
1034,37.0
1035,30.0
1036,27.0
1037,17.0
1038,38.0
1039,33.0
1040,33.0
1041,26.0
1042,20.0
1043,32.0
1044,32.0
1045,36.0
1046,30.0
1047,33.0
1048,37.0
1049,34.0
1050,61.0
1051,48.0
1052,52.0
1053,58.0
1054,55.0
1055,57.0
1056,59.0
1057,57.0
1058,46.0
1059,53.0
1060,51.0
1061,57.0
1062,47.0
