Time,root.DodgerLoopGame.d0.s0
0,7.0
1,3.0
2,6.0
3,11.0
4,8.0
5,6.0
6,6.0
7,10.0
8,4.0
9,7.0
10,4.0
11,1.0
12,7.0
13,2.0
14,2.0
15,7.0
16,5.0
17,2.0
18,1.0
19,5.0
20,0.0
21,3.0
22,3.0
23,2.0
24,4.0
25,4.0
26,4.0
27,3.0
28,1.0
29,4.0
30,0.0
31,5.0
32,4.0
33,0.0
34,1.0
35,1.0
36,4.0
37,1.0
38,0.0
39,0.0
40,3.0
41,5.0
42,2.0
43,1.0
44,2.0
45,3.0
46,1.0
47,3.0
48,0.0
49,1.0
50,3.0
51,1.0
52,0.0
53,3.0
54,1.0
55,1.0
56,3.0
57,3.0
58,5.0
59,4.0
60,5.0
61,3.0
62,2.0
63,2.0
64,3.0
65,12.0
66,5.0
67,8.0
68,11.0
69,6.0
70,6.0
71,10.0
72,9.0
73,15.0
74,19.0
75,13.0
76,17.0
77,17.0
78,22.0
79,27.0
80,29.0
81,17.0
82,26.0
83,28.0
84,32.0
85,43.0
86,40.0
87,48.0
88,34.0
89,33.0
90,36.0
91,30.0
92,35.0
93,49.0
94,29.0
95,35.0
96,42.0
97,41.0
98,33.0
99,42.0
100,41.0
101,38.0
102,39.0
103,33.0
104,50.0
105,42.0
106,42.0
107,48.0
108,44.0
109,34.0
110,39.0
111,45.0
112,44.0
113,32.0
114,46.0
115,43.0
116,38.0
117,40.0
118,38.0
119,42.0
120,31.0
121,34.0
122,52.0
123,29.0
124,32.0
125,22.0
126,31.0
127,28.0
128,43.0
129,25.0
130,33.0
131,38.0
132,26.0
133,29.0
134,32.0
135,28.0
136,24.0
137,30.0
138,29.0
139,26.0
140,21.0
141,35.0
142,32.0
143,27.0
144,42.0
145,23.0
146,20.0
147,23.0
148,23.0
149,32.0
150,24.0
151,31.0
152,21.0
153,29.0
154,25.0
155,25.0
156,26.0
157,24.0
158,26.0
159,30.0
160,26.0
161,37.0
162,21.0
163,35.0
164,30.0
165,27.0
166,25.0
167,27.0
168,33.0
169,23.0
170,39.0
171,33.0
172,33.0
173,31.0
174,36.0
175,33.0
176,35.0
177,46.0
178,38.0
179,28.0
180,29.0
181,44.0
182,38.0
183,33.0
184,38.0
185,50.0
186,40.0
187,50.0
188,47.0
189,43.0
190,40.0
191,40.0
192,32.0
193,27.0
194,35.0
195,36.0
196,42.0
197,30.0
198,35.0
199,30.0
200,41.0
201,38.0
202,34.0
203,31.0
204,31.0
205,27.0
206,21.0
207,35.0
208,21.0
209,29.0
210,30.0
211,33.0
212,27.0
213,30.0
214,33.0
215,34.0
216,36.0
217,22.0
218,27.0
219,30.0
220,37.0
221,34.0
222,20.0
223,33.0
224,33.0
225,28.0
226,27.0
227,42.0
228,29.0
229,27.0
230,22.0
231,23.0
232,22.0
233,31.0
234,31.0
235,24.0
236,25.0
237,27.0
238,28.0
239,21.0
240,27.0
241,24.0
242,25.0
243,21.0
244,12.0
245,14.0
246,18.0
247,25.0
248,24.0
249,18.0
250,19.0
251,26.0
252,15.0
253,29.0
254,29.0
255,24.0
256,13.0
257,22.0
258,14.0
259,33.0
260,21.0
261,11.0
262,18.0
263,18.0
264,19.0
265,12.0
266,18.0
267,21.0
268,13.0
269,7.0
270,12.0
271,16.0
272,11.0
273,9.0
274,13.0
275,20.0
276,9.0
277,10.0
278,12.0
279,5.0
280,9.0
281,4.0
282,4.0
283,6.0
284,9.0
285,5.0
286,16.0
287,8.0
288,9.0
289,10.0
290,5.0
291,7.0
292,10.0
293,9.0
294,5.0
295,6.0
296,8.0
297,3.0
298,6.0
299,3.0
300,5.0
301,4.0
302,3.0
303,5.0
304,4.0
305,6.0
306,4.0
307,1.0
308,6.0
309,3.0
310,4.0
311,3.0
312,4.0
313,9.0
314,4.0
315,2.0
316,3.0
317,3.0
318,1.0
319,3.0
320,3.0
321,1.0
322,2.0
323,3.0
324,5.0
325,2.0
326,4.0
327,2.0
328,0.0
329,1.0
330,1.0
331,4.0
332,4.0
333,4.0
334,2.0
335,1.0
336,4.0
337,5.0
338,1.0
339,4.0
340,2.0
341,2.0
342,3.0
343,2.0
344,3.0
345,3.0
346,7.0
347,4.0
348,5.0
349,2.0
350,3.0
351,7.0
352,10.0
353,16.0
354,6.0
355,12.0
356,10.0
357,17.0
358,12.0
359,16.0
360,7.0
361,17.0
362,18.0
363,17.0
364,9.0
365,19.0
366,26.0
367,23.0
368,29.0
369,23.0
370,30.0
371,43.0
372,31.0
373,39.0
374,38.0
375,43.0
376,56.0
377,35.0
378,42.0
379,53.0
380,39.0
381,45.0
382,43.0
383,48.0
384,46.0
385,40.0
386,42.0
387,33.0
388,33.0
389,41.0
390,34.0
391,43.0
392,55.0
393,41.0
394,40.0
395,43.0
396,52.0
397,47.0
398,42.0
399,39.0
400,35.0
401,35.0
402,42.0
403,39.0
404,39.0
405,27.0
406,30.0
407,30.0
408,31.0
409,39.0
410,25.0
411,33.0
412,26.0
413,23.0
414,34.0
415,23.0
416,32.0
417,22.0
418,30.0
419,30.0
420,25.0
421,24.0
422,26.0
423,24.0
424,28.0
425,24.0
426,26.0
427,27.0
428,26.0
429,23.0
430,29.0
431,22.0
432,25.0
433,31.0
434,26.0
435,26.0
436,30.0
437,33.0
438,28.0
439,28.0
440,34.0
441,38.0
442,25.0
443,31.0
444,26.0
445,28.0
446,26.0
447,24.0
448,27.0
449,32.0
450,22.0
451,25.0
452,20.0
453,30.0
454,34.0
455,24.0
456,37.0
457,24.0
458,33.0
459,19.0
460,40.0
461,31.0
462,39.0
463,30.0
464,34.0
465,43.0
466,37.0
467,39.0
468,45.0
469,43.0
470,51.0
471,48.0
472,42.0
473,40.0
474,39.0
475,49.0
476,46.0
477,38.0
478,34.0
479,31.0
480,29.0
481,34.0
482,42.0
483,35.0
484,39.0
485,28.0
486,39.0
487,29.0
488,41.0
489,29.0
490,30.0
491,43.0
492,39.0
493,45.0
494,50.0
495,44.0
496,48.0
497,28.0
498,49.0
499,43.0
500,42.0
501,34.0
502,36.0
503,26.0
504,34.0
505,41.0
506,30.0
507,38.0
508,31.0
509,39.0
510,48.0
511,48.0
512,52.0
513,47.0
514,39.0
515,35.0
516,46.0
517,26.0
518,27.0
519,22.0
520,34.0
521,41.0
522,29.0
523,19.0
524,29.0
525,36.0
526,30.0
527,32.0
528,12.0
529,18.0
530,20.0
531,15.0
532,25.0
533,40.0
534,17.0
535,15.0
536,16.0
537,19.0
538,19.0
539,22.0
540,25.0
541,25.0
542,24.0
543,26.0
544,23.0
545,26.0
546,17.0
547,22.0
548,17.0
549,18.0
550,17.0
551,12.0
552,20.0
553,9.0
554,14.0
555,7.0
556,10.0
557,12.0
558,17.0
559,17.0
560,16.0
561,14.0
562,9.0
563,17.0
564,13.0
565,9.0
566,8.0
567,5.0
568,4.0
569,8.0
570,6.0
571,11.0
572,5.0
573,8.0
574,9.0
575,6.0
576,12.0
577,18.0
578,11.0
579,11.0
580,19.0
581,17.0
582,4.0
583,6.0
584,8.0
585,12.0
586,11.0
587,6.0
588,10.0
589,10.0
590,9.0
591,5.0
592,5.0
593,8.0
594,10.0
595,1.0
596,6.0
597,9.0
598,11.0
599,5.0
600,12.0
601,7.0
602,10.0
603,10.0
604,5.0
605,10.0
606,11.0
607,10.0
608,12.0
609,4.0
610,6.0
611,8.0
612,6.0
613,9.0
614,4.0
615,4.0
616,8.0
617,7.0
618,4.0
619,1.0
620,2.0
621,7.0
622,4.0
623,7.0
624,3.0
625,5.0
626,1.0
627,4.0
628,9.0
629,4.0
630,2.0
631,3.0
632,3.0
633,1.0
634,1.0
635,1.0
636,3.0
637,5.0
638,3.0
639,6.0
640,2.0
641,4.0
642,7.0
643,4.0
644,4.0
645,3.0
646,1.0
647,4.0
648,3.0
649,1.0
650,6.0
651,3.0
652,4.0
653,5.0
654,6.0
655,9.0
656,8.0
657,3.0
658,2.0
659,6.0
660,10.0
661,8.0
662,7.0
663,8.0
664,9.0
665,0.0
666,13.0
667,6.0
668,6.0
669,14.0
670,10.0
671,14.0
672,10.0
673,10.0
674,9.0
675,11.0
676,12.0
677,8.0
678,14.0
679,11.0
680,11.0
681,18.0
682,20.0
683,18.0
684,24.0
685,17.0
686,10.0
687,11.0
688,12.0
689,20.0
690,21.0
691,21.0
692,20.0
693,18.0
694,31.0
695,17.0
696,19.0
697,24.0
698,20.0
699,19.0
700,19.0
701,19.0
702,18.0
703,15.0
704,19.0
705,19.0
706,18.0
707,24.0
708,18.0
709,13.0
710,23.0
711,23.0
712,23.0
713,20.0
714,9.0
715,32.0
716,45.0
717,29.0
718,24.0
719,21.0
720,18.0
721,20.0
722,28.0
723,24.0
724,15.0
725,25.0
726,16.0
727,38.0
728,25.0
729,25.0
730,21.0
731,20.0
732,28.0
733,23.0
734,19.0
735,19.0
736,23.0
737,14.0
738,32.0
739,27.0
740,29.0
741,30.0
742,33.0
743,20.0
744,37.0
745,26.0
746,42.0
747,35.0
748,33.0
749,23.0
750,24.0
751,36.0
752,28.0
753,26.0
754,28.0
755,27.0
756,30.0
757,13.0
758,24.0
759,33.0
760,22.0
761,22.0
762,29.0
763,29.0
764,36.0
765,24.0
766,24.0
767,19.0
768,24.0
769,26.0
770,22.0
771,21.0
772,18.0
773,42.0
774,25.0
775,26.0
776,31.0
777,29.0
778,21.0
779,22.0
780,29.0
781,26.0
782,13.0
783,20.0
784,34.0
785,18.0
786,28.0
787,22.0
788,33.0
789,14.0
790,32.0
791,25.0
792,27.0
793,29.0
794,24.0
795,21.0
796,31.0
797,25.0
798,23.0
799,30.0
800,30.0
801,28.0
802,17.0
803,32.0
804,17.0
805,21.0
806,21.0
807,23.0
808,15.0
809,21.0
810,20.0
811,19.0
