Time,root.ECGFiveDays.d0.s0
0,0.0099133945
1,0.033428888
2,-0.0057636009
3,-0.029279094
4,-0.052794587
5,0.0099133945
6,-0.021440596
7,-0.029279094
8,-0.060633085
9,-0.091987075
10,-0.013602099
11,-0.060633085
12,-0.013602099
13,-0.076310081
14,-0.060633085
15,-0.12334106
16,-0.084148578
17,-0.068471582
18,-0.037117591
19,-0.076310081
20,-0.060633085
21,-0.12334106
22,-0.060633085
23,-0.091987075
24,-0.068471582
25,-0.10766407
26,-0.099825575
27,-0.14685656
28,-0.029279094
29,0.0099133945
30,0.09613687
31,0.12749086
32,0.16668335
33,0.29209932
34,0.41751527
35,0.11965236
36,-0.084148578
37,-0.076310081
38,-0.21740303
39,-0.19388755
40,-0.27227252
41,-0.24091853
42,-0.31146501
43,-0.30362652
44,-0.24091853
45,-0.20956454
46,-0.15469506
47,-0.21740303
48,-0.091987075
49,0.6605087
50,2.8317725
51,5.0265519
52,0.91917913
53,-4.9361786
54,-6.1197918
55,-4.3326143
56,-2.4200209
57,-1.0717993
58,-0.44471947
59,-0.3349805
60,-0.14685656
61,-0.12334106
62,-0.052794587
63,0.0020748969
64,-0.0057636009
65,-0.04495609
66,0.02559039
67,0.12749086
68,0.064782879
69,0.11965236
70,0.15884485
71,0.25290682
72,0.3391303
73,0.35480729
74,0.42535377
75,0.6761857
76,0.76240917
77,0.87998664
78,1.1308186
79,1.0916261
80,1.264073
81,1.154334
82,1.1464955
83,0.98972556
84,0.76240917
85,0.55076973
86,0.36264579
87,0.22939133
88,0.11965236
89,0.080459874
90,0.02559039
91,0.033428888
92,0.049105883
93,0.0099133945
94,0.064782879
95,0.09613687
96,0.09613687
97,0.11965236
98,0.14316785
99,0.19019885
100,0.11965236
101,0.072621376
102,0.19803734
103,0.09613687
104,0.10397536
105,0.041267385
106,-0.013602099
107,0.0099133945
108,0.080459874
109,-0.013602099
110,-0.021440596
111,0.0099133945
112,-0.076310081
113,-0.14685656
114,-0.060633085
115,0.033428888
116,-0.060633085
117,-0.0057636009
118,-0.060633085
119,0.0020748969
120,-0.068471582
121,0.0099133945
122,-0.029279094
123,-0.029279094
124,-0.052794587
125,-0.037117591
126,-0.091987075
127,0.0020748969
128,-0.04495609
129,-0.060633085
130,-0.068471582
131,0.0020748969
132,-0.029279094
133,-0.11550256
134,0.0020748969
135,0.02559039
136,0.073038958
137,0.032245125
138,0.040403891
139,0.048562658
140,0.032245125
141,0.052642041
142,0.040403891
143,0.015927591
144,0.015927591
145,0.0036894412
146,-0.00038994121
147,-0.0085487083
148,-0.016707475
149,-0.012628092
150,-0.0085487083
151,-0.049342541
152,-0.020786858
153,-0.045263158
154,-0.053421925
155,-0.057501308
156,-0.061580691
157,-0.086056991
158,-0.090136375
159,-0.057501308
160,-0.073818841
161,-0.090136375
162,-0.073818841
163,-0.10645391
164,-0.081977608
165,-0.077898225
166,-0.098295142
167,-0.098295142
168,-0.065660075
169,-0.016707475
170,0.048562658
171,0.056721425
172,0.081197725
173,0.15870601
174,-0.098295142
175,-0.15132713
176,-0.18804157
177,-0.21251787
178,-0.18804157
179,-0.26554985
180,-0.26554985
181,-0.24107356
182,-0.26962924
183,-0.26554985
184,-0.24923233
185,-0.27370863
186,-0.24923233
187,-0.18804157
188,0.073038958
189,1.5905695
190,1.1010435
191,-1.5383175
192,-4.5366641
193,-5.2709532
194,-3.4801039
195,-1.8687475
196,-0.80810784
197,-0.37161382
198,-0.22883541
199,-0.11869206
200,-0.073818841
201,-0.012628092
202,0.0036894412
203,0.048562658
204,0.040403891
205,0.12199156
206,0.18726169
207,0.22805552
208,0.28516689
209,0.34635764
210,0.41978654
211,0.53808866
212,0.65231139
213,0.81548672
214,1.0357734
215,1.2968539
216,1.6068871
217,1.9413965
218,2.2881441
219,2.6104154
220,2.8755753
221,2.9653218
222,2.8470196
223,2.4513194
224,1.8965233
225,1.2560602
226,0.68902584
227,0.34635764
228,0.10975341
229,-0.033025008
230,-0.11461268
231,-0.13908898
232,-0.16356528
233,-0.15948589
234,-0.14724774
235,-0.1309302
236,-0.11461268
237,-0.086056991
238,-0.10645391
239,-0.10645391
240,-0.090136375
241,-0.073818841
242,-0.098295142
243,-0.14724774
244,-0.13908898
245,-0.16356528
246,-0.21659726
247,-0.18396219
248,-0.23291479
249,-0.24107356
250,-0.277788
251,-0.26962924
252,-0.29002616
253,-0.28186739
254,-0.30634369
255,-0.33082
256,-0.31450246
257,-0.33897876
258,-0.35529629
259,-0.35529629
260,-0.36345506
261,-0.35529629
262,-0.37161382
263,-0.37161382
264,-0.42056642
265,-0.36345506
266,-0.38793135
267,-0.38793135
