Time,root.Fungi.d0.s0
0,0.12857022
1,0.29056718
2,0.47177484
3,0.41847887
4,0.21125435
5,0.11383191
6,0.14280729
7,0.22293133
8,0.26545793
9,0.28821562
10,0.31741076
11,0.34653277
12,0.36356001
13,0.36442208
14,0.34077939
15,0.30334113
16,0.28121662
17,0.27595593
18,0.28753667
19,0.31564548
20,0.35905131
21,0.40512647
22,0.39287772
23,0.31491379
24,0.17580665
25,0.007439432
26,0.051831527
27,0.33071947
28,0.54396619
29,0.61651228
30,0.5938951
31,0.4906601
32,0.34833779
33,0.35129704
34,0.4923435
35,0.61042937
36,0.67802607
37,0.6749561
38,0.60221112
39,0.50366827
40,0.3890911
41,0.250161
42,0.097487613
43,0.14972174
44,0.4719595
45,0.73989348
46,0.8144673
47,0.76909114
48,0.64363277
49,0.53194964
50,0.49452238
51,0.48005859
52,0.44772404
53,0.4905706
54,0.70106992
55,0.94643826
56,1.0618157
57,1.0469665
58,0.90961586
59,0.65667155
60,0.48215896
61,0.50012413
62,0.61132703
63,0.74378415
64,0.87903679
65,1.0004823
66,1.0559207
67,0.9864808
68,0.87563226
69,0.84010253
70,0.85986751
71,0.89925446
72,0.92992423
73,0.89391767
74,0.84017955
75,0.89780348
76,1.0311148
77,1.109882
78,1.142438
79,1.1954216
80,1.2758705
81,1.3865411
82,1.5277829
83,1.6727064
84,1.7697869
85,1.8737463
86,2.1151914
87,2.4343842
88,2.6465599
89,2.7408839
90,2.7189028
91,2.6965236
92,3.1661626
93,4.1250332
94,5.2650002
95,6.5134127
96,7.6859694
97,8.7685081
98,9.9291884
99,11.188589
100,12.345531
101,13.346926
102,14.245554
103,15.045229
104,15.418273
105,15.227983
106,14.531809
107,13.673642
108,12.715994
109,11.699453
110,10.620619
111,9.3618977
112,7.9202142
113,6.659673
114,5.6925424
115,4.9788256
116,4.5019699
117,4.2249325
118,4.1281571
119,4.0890815
120,4.0379976
121,3.9533427
122,3.8200353
123,3.5723101
124,3.1536122
125,2.7648266
126,2.622462
127,2.6184947
128,2.6081532
129,2.5712241
130,2.475675
131,2.3214537
132,2.1426526
133,1.9611683
134,1.8438714
135,1.8430402
136,1.8979525
137,1.9494276
138,1.9552697
139,1.8640388
140,1.7377635
141,1.6699404
142,1.722696
143,2.0086577
144,2.4097296
145,2.6557113
146,2.7775585
147,2.8872276
148,3.0013939
149,3.1544072
150,3.3740558
151,3.7624514
152,4.3505353
153,5.2393049
154,6.4156196
155,7.7077868
156,9.0856638
157,10.59232
158,12.335475
159,14.449128
160,17.325717
161,20.920986
162,24.969208
163,29.345912
164,33.595375
165,37.505421
166,40.18676
167,41.385948
168,40.289247
169,36.889828
170,32.642788
171,27.976288
172,23.77436
173,20.293781
174,17.360485
175,14.904237
176,12.757115
177,10.840765
178,9.0050587
179,7.1694954
180,5.4658443
181,3.9819436
182,2.7307272
183,1.8545869
184,1.3767582
185,1.054217
186,0.8047439
187,0.62162974
188,0.50122443
189,0.4114494
190,0.33626501
191,0.27411258
192,0.22402314
193,0.18222417
194,0.14589559
195,0.13029016
196,0.14960323
197,0.1596403
198,0.10885633
199,0.044796917
200,0.036157635
201,0.37394749
202,0.60723595
203,0.74407897
204,0.70278599
205,0.64162525
206,0.66566011
207,0.76674442
208,0.85318807
209,0.90043122
210,0.92639205
211,0.93900743
212,0.98011896
213,1.0658662
214,1.1214002
215,1.1070842
216,1.0159957
217,0.84391607
218,0.72534714
219,0.77069927
220,0.89330976
221,1.002734
222,1.1020307
223,1.1952486
224,1.2376984
225,1.1558163
226,1.0405618
227,1.0793716
228,1.2141956
229,1.2853737
230,1.2943289
231,1.2693482
232,1.2124495
233,1.1432336
234,1.0872274
235,1.0374905
236,0.98256771
237,0.98476159
238,1.1697574
239,1.4426968
240,1.5592122
241,1.5341209
242,1.4480564
243,1.3365261
244,1.3131594
245,1.3637352
246,1.3678667
247,1.3202882
248,1.2836212
249,1.2734233
250,1.329204
251,1.4545278
252,1.5985403
253,1.7429288
254,1.8180617
255,1.8038737
256,1.7650123
257,1.7278628
258,1.7010399
259,1.7359089
260,1.8224547
261,1.817683
262,1.7148256
263,1.7537879
264,1.9780682
265,2.1057914
266,2.0495247
267,1.908006
268,1.7256158
269,1.6638858
270,1.8010883
271,1.98511
272,2.1221428
273,2.1914971
274,2.1772682
275,2.1751243
276,2.2781609
277,2.3924984
278,2.4020878
