Time,root.GunPoint.d0.s0
0,-0.6478854
1,-0.64199155
2,-0.63818632
3,-0.63825875
4,-0.63834515
5,-0.63869741
6,-0.64304876
7,-0.64376789
8,-0.64504991
9,-0.64711823
10,-0.64915334
11,-0.65124584
12,-0.65729046
13,-0.66220082
14,-0.66123227
15,-0.66098661
16,-0.66156196
17,-0.66225552
18,-0.66191228
19,-0.66274039
20,-0.66093438
21,-0.66344985
22,-0.66219448
23,-0.6623359
24,-0.66171176
25,-0.66139185
26,-0.66140829
27,-0.66144719
28,-0.66037322
29,-0.65910828
30,-0.65974177
31,-0.65817648
32,-0.65839527
33,-0.65734763
34,-0.65851971
35,-0.6584864
36,-0.657366
37,-0.65435815
38,-0.65251819
39,-0.6513159
40,-0.64814481
41,-0.64733294
42,-0.64709792
43,-0.64486153
44,-0.64360412
45,-0.64349171
46,-0.64265061
47,-0.6420974
48,-0.64447929
49,-0.6488921
50,-0.65765851
51,-0.66120325
52,-0.64966432
53,-0.61016844
54,-0.53743483
55,-0.46503123
56,-0.35853483
57,-0.28313648
58,-0.17744604
59,0.15824648
60,0.35028455
61,0.48241039
62,0.60380734
63,0.79710411
64,0.98755132
65,1.2037853
66,1.4065415
67,1.5962459
68,1.7128307
69,1.7788152
70,1.7938492
71,1.7971408
72,1.8101928
73,1.8206277
74,1.8172235
75,1.8316333
76,1.8316333
77,1.828965
78,1.8453761
79,1.8452577
80,1.8458113
81,1.8424932
82,1.8353569
83,1.8363734
84,1.8406975
85,1.8325128
86,1.8317604
87,1.8292355
88,1.82239
89,1.8137368
90,1.8065749
91,1.7817465
92,1.7681708
93,1.714996
94,1.6361695
95,1.5421009
96,1.4168285
97,1.295362
98,1.1717134
99,1.0294766
100,0.83269526
101,0.74873661
102,0.48444394
103,0.46799664
104,0.13619262
105,-0.02096398
106,-0.24144559
107,-0.42927857
108,-0.54787937
109,-0.65770118
110,-0.74082076
111,-0.77535158
112,-0.78246083
113,-0.7692917
114,-0.74327798
115,-0.71938126
116,-0.69687714
117,-0.6863145
118,-0.67373867
119,-0.6683903
120,-0.66464289
121,-0.66411665
122,-0.66429579
123,-0.66119756
124,-0.65934631
125,-0.65258234
126,-0.64332472
127,-0.63886892
128,-0.63655838
129,-0.63317355
130,-0.63303697
131,-0.63300935
132,-0.63303406
133,-0.63521866
134,-0.63446965
135,-0.63579121
136,-0.63628253
137,-0.63539522
138,-0.63607448
139,-0.63755154
140,-0.63926427
141,-0.63971561
142,-0.63973452
143,-0.64018371
144,-0.6392345
145,-0.63939473
146,-0.64023111
147,-0.64042873
148,-0.63866571
149,-0.63865722
150,-0.64442658
151,-0.64540093
152,-0.64705511
153,-0.64749197
154,-0.64690971
155,-0.64388389
156,-0.63973113
157,-0.63809387
158,-0.63529717
159,-0.63538416
160,-0.63411445
161,-0.63371918
162,-0.63205431
163,-0.63227824
164,-0.62955996
165,-0.62870392
166,-0.62746722
167,-0.62409218
168,-0.62038177
169,-0.61557086
170,-0.61236419
171,-0.60894925
172,-0.60814263
173,-0.60875378
174,-0.60932197
175,-0.60964104
176,-0.6106846
177,-0.61113193
178,-0.61108019
179,-0.61170986
180,-0.6108825
181,-0.60945267
182,-0.60894078
183,-0.60688561
184,-0.60496062
185,-0.60257664
186,-0.60001033
187,-0.59800522
188,-0.5975363
189,-0.5977706
190,-0.59698632
191,-0.59714972
192,-0.59554072
193,-0.59359381
194,-0.59578465
195,-0.59910805
196,-0.5912054
197,-0.56583637
198,-0.50726478
199,-0.47291228
200,-0.39633301
201,-0.33414741
202,-0.20000148
203,-0.08449374
204,0.10083747
205,0.3148938
206,0.52511887
207,0.69455355
208,0.80780727
209,0.92774028
210,1.0858623
211,1.2464984
212,1.4187121
213,1.5884393
214,1.7182312
215,1.8248829
216,1.8471632
217,1.8518006
218,1.872417
219,1.8872352
220,1.8985508
221,1.909383
222,1.9124699
223,1.9096719
224,1.9174692
225,1.91903
226,1.91903
227,1.9251767
228,1.9172165
229,1.9200466
230,1.9211848
231,1.9228891
232,1.9149382
233,1.9196946
234,1.9002214
235,1.8758726
236,1.8250645
237,1.7656031
238,1.663209
239,1.5312346
240,1.3837503
241,1.2475013
242,1.1144119
243,0.97498614
244,0.86271132
245,0.72753537
246,0.62536652
247,0.46326155
248,0.22507585
249,-0.012777971
250,-0.23727427
251,-0.37892463
252,-0.49682449
253,-0.61293216
254,-0.71132509
255,-0.7695228
256,-0.80118791
257,-0.8130485
258,-0.81420329
259,-0.80858513
260,-0.79895231
261,-0.78045751
262,-0.76325687
263,-0.75207822
264,-0.73252229
265,-0.72217905
266,-0.710579
267,-0.70049705
268,-0.69251058
269,-0.68554069
270,-0.67506675
271,-0.66983666
272,-0.66321314
273,-0.65960718
274,-0.65295234
275,-0.64982112
276,-0.64719534
277,-0.64550168
278,-0.6453459
279,-0.64490756
280,-0.64518239
281,-0.6459907
282,-0.64498534
283,-0.64382431
284,-0.64295769
285,-0.64283282
286,-0.64348112
287,-0.64357149
288,-0.64186799
289,-0.64156638
290,-0.64114043
291,-0.64142574
292,-0.63926739
293,-0.63779692
294,-0.63767998
295,-0.63525992
296,-0.6354902
297,-0.6349345
298,-0.6344968
299,-0.63159565
300,-0.77835282
301,-0.77827907
302,-0.77715084
303,-0.77768415
304,-0.77590005
305,-0.77242112
306,-0.76546368
307,-0.76227521
308,-0.76375171
309,-0.7653562
310,-0.76561727
311,-0.76597758
312,-0.76856885
313,-0.77674009
314,-0.78191495
315,-0.78205063
316,-0.77799435
317,-0.77678608
318,-0.77608194
319,-0.77861324
320,-0.78267158
321,-0.78045439
322,-0.77700149
323,-0.76996878
324,-0.76981823
325,-0.7687117
326,-0.76990229
327,-0.77251418
328,-0.77290822
329,-0.77446878
330,-0.77413797
331,-0.76995012
332,-0.76900216
333,-0.76946942
334,-0.77118182
335,-0.77031196
336,-0.76104601
337,-0.71916875
338,-0.66383998
339,-0.63926769
340,-0.63442007
341,-0.62869976
342,-0.63340638
343,-0.62427167
344,-0.59826378
345,-0.57381015
346,-0.56251975
347,-0.5501765
348,-0.5281981
349,-0.4766243
350,-0.39206771
351,-0.30889759
352,-0.011156692
353,0.28711513
354,0.43799566
355,0.61875099
356,0.88714801
357,1.1356449
358,1.3414548
359,1.5200484
360,1.6115033
361,1.6557754
362,1.6750362
363,1.6882409
364,1.6986055
365,1.7034703
366,1.7037385
367,1.7005483
368,1.7000271
369,1.6983303
370,1.6969788
371,1.6951031
372,1.6967493
373,1.6966075
374,1.6941992
375,1.6886869
376,1.6886869
377,1.6865958
378,1.678218
379,1.6716127
380,1.6679297
381,1.6621545
382,1.6624095
383,1.655511
384,1.6483839
385,1.6372525
386,1.6371645
387,1.6344323
388,1.6221158
389,1.5973876
390,1.5675681
391,1.5063427
392,1.4058495
393,1.2811714
394,1.1392162
395,0.97935621
396,0.80906414
397,0.64691923
398,0.4716904
399,0.3026937
400,0.18773681
401,0.039058399
402,-0.078697581
403,-0.20821437
404,-0.31264454
405,-0.38899594
406,-0.451825
407,-0.49965696
408,-0.53307436
409,-0.557154
410,-0.56284145
411,-0.57743736
412,-0.59806714
413,-0.62009554
414,-0.63717177
415,-0.64028974
416,-0.63695831
417,-0.6304882
418,-0.60813961
419,-0.5875428
420,-0.57186065
421,-0.55389145
422,-0.53961389
423,-0.53883187
424,-0.55839037
425,-0.58863936
426,-0.62928784
427,-0.6625099
428,-0.69087978
429,-0.70717443
430,-0.72228477
431,-0.73265422
432,-0.73873723
433,-0.73923604
434,-0.73840934
435,-0.73718665
436,-0.73140657
437,-0.72740235
438,-0.72749086
439,-0.72378459
440,-0.72205505
441,-0.71871191
442,-0.71353402
443,-0.71002135
444,-0.70412555
445,-0.70326284
446,-0.70339321
447,-0.70419626
448,-0.70760524
449,-0.7071202
450,-0.75006044
451,-0.7481029
452,-0.746164
453,-0.7459259
454,-0.74376653
455,-0.74380547
456,-0.74521298
