Time,root.GunPointMaleVersusFemale.d0.s0
0,333.24495
1,333.31229
2,333.14443
3,333.2401
4,333.25879
5,333.25293
6,333.41631
7,333.20777
8,333.25465
9,333.19306
10,333.2399
11,333.14915
12,333.09456
13,333.02462
14,332.89002
15,332.70427
16,332.53578
17,332.42659
18,332.2714
19,332.17365
20,332.18259
21,332.27873
22,332.42046
23,332.4881
24,332.52397
25,332.57216
26,332.66359
27,332.7566
28,332.91392
29,332.78697
30,332.835
31,332.91304
32,332.91709
33,332.9211
34,332.82206
35,332.95781
36,333.05494
37,333.00935
38,333.05798
39,333.65132
40,336.69982
41,344.0455
42,355.85714
43,371.19605
44,391.63961
45,408.10502
46,414.86207
47,425.78285
48,435.08623
49,444.36705
50,455.69958
51,469.65295
52,485.44587
53,502.9778
54,519.2151
55,533.82826
56,541.95543
57,546.6206
58,549.78477
59,552.05993
60,552.98939
61,553.0385
62,554.06452
63,553.74549
64,553.4635
65,553.51185
66,553.48693
67,554.11101
68,553.64737
69,553.78139
70,553.83029
71,552.96253
72,552.52698
73,552.56372
74,552.75649
75,552.63509
76,552.32807
77,551.9895
78,551.34097
79,550.84851
80,549.95455
81,548.76978
82,547.37387
83,542.04876
84,532.04361
85,516.69283
86,498.1335
87,481.30667
88,464.66871
89,448.31111
90,430.21032
91,418.11905
92,402.59524
93,382.21443
94,366.21156
95,351.87897
96,339.6162
97,328.57212
98,319.49626
99,313.19114
100,310.76329
101,310.03322
102,310.26418
103,310.9357
104,312.10946
105,313.414
106,314.24433
107,315.7915
108,316.85404
109,318.28803
110,319.54968
111,320.65455
112,321.94631
113,322.25884
114,322.61665
115,322.90565
116,323.05449
117,323.64574
118,324.20659
119,325.12222
120,325.96113
121,326.78996
122,327.32214
123,327.59382
124,327.79632
125,327.6535
126,327.375
127,327.28248
128,327.15982
129,327.13685
130,327.47104
131,327.57099
132,327.84219
133,328.32077
134,328.5834
135,328.7154
136,328.69009
137,328.50892
138,328.4183
139,328.54119
140,328.77014
141,328.9798
142,329.24667
143,329.62954
144,329.76537
145,329.8352
146,330.00732
147,330.17825
148,330.13815
149,330.22885
150,301.49046
151,301.53188
152,301.50591
153,301.42953
154,301.52453
155,301.63424
156,301.71613
157,301.72793
158,301.66667
159,301.65813
160,301.8191
161,301.8476
162,301.88785
163,301.86089
164,302.06484
165,302.20379
166,302.21484
167,302.44352
168,302.42176
169,302.47427
170,302.51563
171,302.78977
172,302.67917
173,302.89721
174,302.93278
175,303.05193
176,303.02879
177,303.22604
178,303.35809
179,303.44784
180,303.44396
181,303.48355
182,303.67015
183,303.71577
184,303.66427
185,303.79945
186,303.81083
187,303.85589
188,304.07044
189,304.11105
190,303.97403
191,304.01439
192,303.97072
193,303.9824
194,304.16887
195,304.4195
196,304.56947
197,304.70282
198,304.75014
199,304.90969
200,305.08578
201,305.33554
202,305.75316
203,305.89371
204,306.32745
205,306.62898
206,306.5796
207,306.79024
208,307.04382
209,307.16352
210,307.10939
211,307.19095
212,307.21831
213,307.21915
214,307.42227
215,307.53481
216,308.5159
217,312.10928
218,318.75059
219,326.4772
220,341.53307
221,359.54167
222,359.54167
223,359.54167
