Time,root.GunPointOldVersusYoung.d0.s0
0,253.62452
1,253.60407
2,253.56298
3,253.71716
4,253.76865
5,253.52697
6,253.5
7,253.645
8,253.73617
9,253.53632
10,253.59095
11,253.38573
12,253.15595
13,252.99519
14,253.25164
15,257.07766
16,263.28897
17,270.09111
18,277.52388
19,282.22727
20,284.24648
21,285.63506
22,285.42264
23,285.81624
24,287.66306
25,290.60208
26,292.94417
27,294.13548
28,294.99739
29,296.1482
30,299.52716
31,305.71145
32,318.4414
33,335.41765
34,353.62577
35,372.33256
36,390.46617
37,405.61144
38,420.00268
39,432.14739
40,443.28033
41,452.06791
42,459.25575
43,466.2754
44,471.56434
45,477.51042
46,481.44803
47,485.68463
48,488.40247
49,489.16266
50,490.96903
51,491.27377
52,491.28571
53,491.99919
54,492.20574
55,492.24058
56,492.1775
57,491.90032
58,491.72676
59,492.01359
60,492.06139
61,491.69704
62,491.27348
63,491.29794
64,491.48785
65,490.94776
66,491.05446
67,491.07718
68,491.64829
69,491.40152
70,491.32208
71,491.77806
72,492.01105
73,492.12382
74,492.11485
75,491.79042
76,491.71611
77,491.78216
78,491.84622
79,492.03614
80,492.17869
81,492.45447
82,492.22815
83,492.58894
84,492.87047
85,492.44793
86,492.18617
87,492.71307
88,492.83517
89,492.63274
90,492.9471
91,492.67304
92,492.97927
93,492.43592
94,492.04745
95,492.16076
96,491.6748
97,490.83186
98,489.26024
99,486.30776
100,481.89064
101,475.54703
102,467.62419
103,457.58044
104,446.01258
105,432.75305
106,417.97421
107,402.18619
108,386.18153
109,369.72818
110,354.90505
111,340.6149
112,328.25718
113,315.72374
114,306.15615
115,298.69565
116,291.73276
117,285.86756
118,281.71781
119,279.13489
120,277.94951
121,277.32794
122,277.6777
123,277.33674
124,277.53938
125,277.77266
126,277.75117
127,277.85658
128,277.62037
129,277.55436
130,276.8797
131,276.20476
132,275.97038
133,275.32485
134,274.48623
135,273.5359
136,272.5093
137,270.51874
138,268.5588
139,264.46254
