Time,root.Ham.d0.s0
0,0.11402523
1,0.10488982
2,0.095754406
3,0.086618991
4,0.086618991
5,0.086618991
6,0.077483576
7,0.077483576
8,0.077483576
9,0.077483576
10,0.077483576
11,0.077483576
12,0.077483576
13,0.077483576
14,0.077483576
15,0.077483576
16,0.077483576
17,0.068348162
18,0.068348162
19,0.068348162
20,0.068348162
21,0.068348162
22,0.068348162
23,0.068348162
24,0.068348162
25,0.068348162
26,0.077483576
27,0.077483576
28,0.077483576
29,0.077483576
30,0.086618991
31,0.086618991
32,0.095754406
33,0.095754406
34,0.10488982
35,0.11402523
36,0.11402523
37,0.12316065
38,0.12316065
39,0.13229606
40,0.14143148
41,0.14143148
42,0.15056689
43,0.15970231
44,0.15970231
45,0.16883772
46,0.17797314
47,0.19624397
48,0.20537938
49,0.22365021
50,0.25105645
51,0.30586894
52,0.36068143
53,0.37895226
54,0.37895226
55,0.43376474
56,0.49771265
57,0.4703064
58,0.45203557
59,0.70782718
60,1.2742229
61,1.5026082
62,1.4843374
63,1.3564416
64,1.2742229
65,1.1920042
66,1.0184313
67,0.91794172
68,0.89053547
69,0.85399381
70,0.70782718
71,0.36981684
72,0.077483576
73,0.013535675
74,0.022671089
75,0.068348162
76,0.20537938
77,0.4063585
78,0.63474386
79,0.82658757
80,0.98188962
81,1.0823792
82,1.1463271
83,1.1737333
84,1.1828687
85,1.1828687
86,1.1828687
87,1.1737333
88,1.1463271
89,1.0823792
90,0.9727542
91,0.80831674
92,0.58906679
93,0.3424106
94,0.095754406
95,-0.11436013
96,-0.26966218
97,-0.36101632
98,-0.39755798
99,-0.39755798
100,-0.39755798
101,-0.37928715
102,-0.32447466
103,-0.23312052
104,-0.11436013
105,0.00440026
106,0.12316065
107,0.22365021
108,0.29673353
109,0.3424106
110,0.36068143
111,0.36068143
112,0.33327518
113,0.22365021
114,0.095754406
115,-0.0960893
116,-0.27879759
117,-0.34274549
118,-0.34274549
119,-0.27879759
120,-0.14176637
121,0.068348162
122,0.30586894
123,0.50684806
124,0.59820221
125,0.61647304
126,0.59820221
127,0.49771265
128,0.26019187
129,-0.050412227
130,-0.31533925
131,-0.47977671
132,-0.56199544
133,-0.58940169
134,-0.60767252
135,-0.62594334
136,-0.67162042
137,-0.73556832
138,-0.79038081
139,-0.80865164
140,-0.80865164
141,-0.79951622
142,-0.79038081
143,-0.79038081
144,-0.79038081
145,-0.80865164
146,-0.87259954
147,-0.9730891
148,-1.0918495
149,-1.1877713
150,-1.2288807
151,-1.236189
152,-1.2270536
153,-1.1868578
154,-1.1283911
155,-1.0735787
156,-0.99135993
157,-0.91827661
158,-0.90000578
159,-0.89087037
160,-0.86346412
161,-0.81778705
162,-0.74470373
163,-0.65334959
164,-0.54372461
165,-0.42496422
166,-0.29706842
167,-0.14176637
168,0.068348162
169,0.32413977
170,0.57079596
171,0.74436884
172,0.83572298
173,0.89053547
174,0.91794172
175,0.92707713
176,0.93621254
177,0.93621254
178,0.92707713
179,0.89053547
180,0.76263967
181,0.45203557
182,-0.068683056
183,-0.64421417
184,-1.0827141
185,-1.3649984
186,-1.5294358
187,-1.6226171
188,-1.6719483
189,-1.6957004
190,-1.70849
191,-1.7148848
192,-1.7185389
193,-1.7185389
194,-1.7075764
195,-1.676516
196,-1.6454556
197,-1.6143952
198,-1.5723723
199,-1.5120786
200,-1.4207244
201,-1.2782119
202,-1.0461724
203,-0.662485
204,-0.15090179
205,0.3424106
206,0.66215011
