Time,root.InsectEPGRegularTrain.d0.s0
0,2.4561
1,2.4561
2,2.4561
3,2.4573
4,2.4561
5,2.4573
6,2.4585
7,2.4585
8,2.4597
9,2.4609
10,2.4573
11,2.4585
12,2.4585
13,2.4609
14,2.4609
15,2.4609
16,2.4634
17,2.4609
18,2.4609
19,2.4622
20,2.4634
21,2.4634
22,2.4609
23,2.4622
24,2.4634
25,2.4634
26,2.4622
27,2.4658
28,2.4634
29,2.4646
30,2.4646
31,2.4609
32,2.4658
33,2.4658
34,2.4646
35,2.4646
36,2.467
37,2.4707
38,2.4683
39,2.4683
40,2.4683
41,2.467
42,2.4683
43,2.4707
44,2.4707
45,2.4719
46,2.4731
47,2.4731
48,2.4731
49,2.4744
50,2.4719
51,2.4744
52,2.4744
53,2.4756
54,2.4744
55,2.4744
56,2.4707
57,2.4719
58,2.4719
59,2.4744
60,2.4719
61,2.4707
62,2.4719
63,2.4744
64,2.4756
65,2.4756
66,2.4744
67,2.4744
68,2.4756
69,2.4756
70,2.4756
71,2.4792
72,2.478
73,2.4768
74,2.478
75,2.4756
76,2.4756
77,2.478
78,2.4756
79,2.478
80,2.4768
81,2.4768
82,2.4768
83,2.4768
84,2.478
85,2.478
86,2.4792
87,2.4792
88,2.4792
89,2.4792
90,2.478
91,2.4768
92,2.4805
93,2.4817
94,2.4805
95,2.4841
96,2.4829
97,2.4841
98,2.4829
99,2.4829
100,2.4829
101,2.4841
102,2.4866
103,2.4866
104,2.4878
105,2.4854
106,2.4854
107,2.4854
108,2.4866
109,2.489
110,2.4878
111,2.489
112,2.489
113,2.4878
114,2.4902
115,2.4902
116,2.489
117,2.4878
118,2.4902
119,2.4915
120,2.4878
121,2.4902
122,2.4915
123,2.4927
124,2.4915
125,2.4902
126,2.4902
127,2.4878
128,2.4878
129,2.4927
130,2.4927
131,2.4902
132,2.4915
133,2.489
134,2.4878
135,2.4902
136,2.4902
137,2.4939
138,2.4951
139,2.4951
140,2.4927
141,2.4915
142,2.4951
143,2.4939
144,2.4902
145,2.4915
146,2.4902
147,2.4902
148,2.4927
149,2.4963
150,2.4915
151,2.4915
152,2.4915
153,2.4939
154,2.4951
155,2.4927
156,2.4951
157,2.4963
158,2.4963
159,2.4976
160,2.4963
161,2.4963
162,2.4976
163,2.4963
164,2.4976
165,2.4951
166,2.4976
167,2.4988
168,2.5012
169,2.5024
170,2.5012
171,2.5012
172,2.5024
173,2.5012
174,2.5
175,2.5037
176,2.5
177,2.5012
178,2.5012
179,2.4988
180,2.4988
181,2.5
182,2.5024
183,2.5012
184,2.5012
185,2.5012
186,2.5024
187,2.5037
188,2.5049
189,2.5049
190,2.5037
191,2.5024
192,2.5037
193,2.5037
194,2.5061
195,2.5012
196,2.5024
197,2.5061
198,2.5061
199,2.5049
200,2.5049
201,2.5049
202,2.5061
203,2.5061
204,2.5073
205,2.5049
206,2.5061
207,2.5085
208,2.5085
209,2.5098
210,2.5085
211,2.5085
212,2.5073
213,2.5049
214,2.5098
215,2.5073
216,2.5061
217,2.5073
218,2.5098
219,2.511
220,2.5098
221,2.5073
222,2.5098
223,2.5073
224,2.5085
225,2.5098
226,2.5085
227,2.5085
228,2.5085
229,2.5085
230,2.5073
231,2.5098
232,2.511
233,2.5098
234,2.511
235,2.5073
236,2.5085
237,2.5098
238,2.5122
239,2.5122
240,2.5073
241,2.5098
242,2.5085
243,2.511
244,2.5122
245,2.5122
246,2.511
247,2.5122
248,2.5122
249,2.5122
250,2.5098
251,2.5085
252,2.511
253,2.511
254,2.5171
255,2.5159
256,2.5159
257,2.5146
258,2.5159
259,2.5183
260,2.5159
261,2.5171
262,2.5171
263,2.5159
264,2.5183
265,2.5171
266,2.5122
267,2.5134
268,2.5134
269,2.5146
270,2.5171
271,2.5183
272,2.5171
273,2.5195
274,2.5183
275,2.5146
276,2.5171
277,2.5171
278,2.5195
279,2.522
280,2.5208
281,2.5195
282,2.5195
283,2.5195
284,2.5232
285,2.5208
286,2.5195
287,2.522
288,2.522
289,2.5208
290,2.5195
291,2.5208
292,2.522
293,2.5195
294,2.5208
295,2.5183
296,2.5183
297,2.5195
298,2.5183
299,2.5183
300,2.5183
301,2.5195
302,2.5244
303,2.5403
304,2.5464
305,2.5061
306,2.4854
307,2.4768
308,2.4756
309,2.4756
310,2.467
311,2.4744
312,2.4731
313,2.4622
314,2.4536
315,2.4475
316,2.45
317,2.4463
318,2.4475
319,2.45
320,2.4475
321,2.4487
322,2.45
323,2.4512
324,2.4512
325,2.4512
326,2.4805
327,2.5
328,2.4731
329,2.4792
330,2.4792
331,2.4695
332,2.478
333,2.4683
334,2.4548
335,2.4438
336,2.4463
337,2.4475
338,2.4438
339,2.4463
340,2.4451
341,2.4463
342,2.4475
343,2.4451
344,2.4463
345,2.4463
346,2.4658
347,2.489
348,2.4915
349,2.4768
350,2.489
351,2.4878
352,2.4768
353,2.4817
354,2.4817
355,2.4646
356,2.4561
357,2.45
358,2.4487
359,2.4463
360,2.4426
361,2.4438
362,2.4426
363,2.4402
364,2.4524
365,2.4829
366,2.4792
367,2.4756
368,2.4829
369,2.4768
370,2.4573
371,2.4475
372,2.4438
373,2.4426
374,2.45
375,2.4683
376,2.4695
377,2.4597
378,2.4475
379,2.4475
380,2.4463
381,2.4487
382,2.4475
383,2.4475
384,2.45
385,2.4597
386,2.4927
387,2.4854
388,2.4768
389,2.4817
390,2.4707
391,2.4731
392,2.4658
393,2.4536
394,2.4414
395,2.4438
396,2.4463
397,2.4353
398,2.4316
399,2.428
400,2.428
401,2.4292
402,2.428
403,2.428
404,2.4268
405,2.4255
406,2.4255
407,2.4268
408,2.4243
409,2.4243
410,2.4402
411,2.4658
412,2.4377
413,2.4304
414,2.4365
415,2.4133
416,2.3926
417,2.3853
418,2.3938
419,2.4158
420,2.4048
421,2.3987
422,2.3975
423,2.3999
424,2.4011
425,2.4023
426,2.4048
427,2.4036
428,2.406
429,2.406
430,2.406
431,2.4084
432,2.4084
433,2.4072
434,2.4133
435,2.4109
436,2.4097
437,2.4097
438,2.4109
439,2.4097
440,2.4097
441,2.4133
442,2.4133
443,2.4133
444,2.4158
445,2.4133
446,2.4146
447,2.4133
448,2.4146
449,2.417
450,2.4121
451,2.4133
452,2.4133
453,2.4158
454,2.4121
455,2.4146
456,2.4146
457,2.4146
458,2.4121
459,2.417
460,2.4146
461,2.4182
462,2.4158
463,2.4146
464,2.417
465,2.4133
466,2.4158
467,2.417
468,2.4146
469,2.4146
470,2.4133
471,2.417
472,2.417
473,2.4182
474,2.4182
475,2.4158
476,2.417
477,2.417
478,2.4146
479,2.4194
480,2.4182
481,2.4207
482,2.4194
483,2.4194
484,2.4194
485,2.4182
486,2.4194
487,2.4182
488,2.4182
489,2.4194
490,2.417
491,2.4182
492,2.417
493,2.417
494,2.417
495,2.417
496,2.4194
497,2.4158
498,2.4182
499,2.4182
500,2.4146
501,2.4158
502,2.4133
503,2.4121
504,2.417
505,2.4158
506,2.4158
507,2.4158
508,2.4146
509,2.417
510,2.4146
511,2.4158
512,2.4158
513,2.4146
514,2.4146
515,2.4158
516,2.4158
517,2.4182
518,2.4146
519,2.4182
520,2.417
521,2.4146
522,2.4146
523,2.4146
524,2.417
525,2.4133
526,2.4146
527,2.4146
528,2.4133
529,2.4158
530,2.4133
531,2.4158
532,2.4158
533,2.4158
534,2.4158
535,2.4158
536,2.4182
537,2.417
538,2.4158
539,2.417
540,2.417
541,2.4182
542,2.417
543,2.4146
544,2.4182
545,2.417
546,2.4194
547,2.4194
548,2.417
549,2.4194
550,2.417
551,2.4194
552,2.417
553,2.4194
554,2.4194
555,2.4207
556,2.4207
557,2.4182
558,2.4182
559,2.4194
560,2.4194
561,2.4219
562,2.4219
563,2.4207
564,2.4219
565,2.4231
566,2.4231
567,2.4219
568,2.4207
569,2.4219
570,2.4219
571,2.4231
572,2.4219
573,2.4207
574,2.4243
575,2.4243
576,2.4231
577,2.4219
578,2.4255
579,2.4243
580,2.4231
581,2.4243
582,2.4231
583,2.4219
584,2.4243
585,2.4243
586,2.4243
587,2.4255
588,2.4243
589,2.4316
590,2.4316
591,2.4292
592,2.428
593,2.428
594,2.4292
595,2.4304
596,2.4292
597,2.428
598,2.4292
599,2.4304
600,2.4292
601,2.4487
602,2.4475
603,2.4475
604,2.45
605,2.4512
606,2.4475
607,2.45
608,2.4475
609,2.4512
610,2.4475
611,2.4512
612,2.4512
613,2.4524
614,2.4487
615,2.45
616,2.4512
617,2.4512
618,2.4512
619,2.4512
620,2.4524
621,2.45
622,2.4512
623,2.45
624,2.4536
625,2.4512
626,2.4512
627,2.4536
628,2.4548
629,2.4524
630,2.4548
631,2.4512
632,2.4536
633,2.4512
634,2.4524
635,2.4561
636,2.4548
637,2.4548
638,2.4536
639,2.4524
640,2.4536
641,2.4561
642,2.4548
643,2.4548
644,2.4524
645,2.4561
646,2.4548
647,2.4561
648,2.4561
649,2.4561
650,2.4561
651,2.4548
652,2.4573
653,2.4561
654,2.4548
655,2.4561
656,2.4561
657,2.4548
658,2.4548
659,2.4536
660,2.4548
661,2.4561
662,2.4573
663,2.4536
664,2.4561
665,2.4585
666,2.4561
667,2.4585
668,2.4597
669,2.4622
670,2.4634
671,2.4622
672,2.4646
673,2.4634
674,2.4634
675,2.467
676,2.4646
677,2.467
678,2.4646
679,2.4646
680,2.4646
681,2.4646
682,2.4646
683,2.467
684,2.4658
685,2.4683
686,2.467
687,2.467
688,2.4658
689,2.4634
690,2.4646
691,2.4634
692,2.467
693,2.4658
694,2.4658
695,2.4658
696,2.4658
697,2.467
698,2.4658
699,2.4646
700,2.4658
701,2.4646
702,2.4658
703,2.467
704,2.467
705,2.467
706,2.467
707,2.4683
708,2.4695
709,2.4707
710,2.4707
711,2.4683
712,2.4683
713,2.4695
714,2.4695
715,2.467
716,2.4658
717,2.4683
718,2.4683
719,2.4731
720,2.511
721,2.5269
722,2.4939
723,2.4524
724,2.4414
725,2.4402
726,2.4402
727,2.4353
728,2.4194
729,2.4084
730,2.4048
731,2.4036
732,2.4036
733,2.3987
734,2.4011
735,2.4011
736,2.3999
737,2.3999
738,2.4121
739,2.4573
740,2.4792
741,2.4512
742,2.4536
743,2.4524
744,2.4365
745,2.4158
746,2.4048
747,2.4011
748,2.3962
749,2.3987
750,2.3999
751,2.3975
752,2.3975
753,2.3975
754,2.3975
755,2.3975
756,2.395
757,2.395
758,2.3975
759,2.4121
760,2.4768
761,2.4866
762,2.4658
763,2.4634
764,2.4573
765,2.4536
766,2.4463
767,2.4268
768,2.4133
769,2.4048
770,2.4036
771,2.4023
772,2.3987
773,2.3938
774,2.3938
775,2.3938
776,2.3901
777,2.3962
778,2.3914
779,2.3938
780,2.4414
781,2.4646
782,2.4463
783,2.4353
784,2.4414
785,2.4329
786,2.4084
787,2.3975
788,2.3877
789,2.4023
790,2.4011
791,2.3914
792,2.3877
793,2.3877
794,2.3877
795,2.3865
796,2.3816
797,2.3853
798,2.3828
799,2.3816
800,2.3816
801,2.3804
802,2.3792
803,2.3779
804,2.3779
805,2.3804
806,2.3792
807,2.3767
808,2.3767
809,2.3755
810,2.3755
811,2.373
812,2.373
813,2.3706
814,2.3718
815,2.373
816,2.3718
817,2.3718
818,2.3706
819,2.3682
820,2.3694
821,2.3694
822,2.3706
823,2.3682
824,2.3682
825,2.3657
826,2.3682
827,2.3669
828,2.3682
829,2.3669
830,2.3669
831,2.3657
832,2.3682
833,2.3657
834,2.3657
835,2.3669
836,2.3657
837,2.3682
838,2.3645
839,2.3645
840,2.3669
841,2.3657
842,2.3657
843,2.3645
844,2.3669
845,2.3669
846,2.3657
847,2.3669
848,2.3669
849,2.3682
850,2.3669
851,2.3645
852,2.3645
853,2.3633
854,2.3657
855,2.3682
856,2.3669
857,2.3706
858,2.3694
859,2.3669
860,2.3682
861,2.3694
862,2.3706
863,2.3706
864,2.3694
865,2.3682
866,2.3706
867,2.3706
868,2.3694
869,2.3682
870,2.3694
871,2.3694
872,2.3682
873,2.3694
874,2.3682
875,2.3669
876,2.3706
877,2.3694
878,2.3682
879,2.3706
880,2.3694
881,2.3682
882,2.3718
883,2.3694
884,2.373
885,2.3706
886,2.3718
887,2.3706
888,2.3804
889,2.3865
890,2.3767
891,2.3682
892,2.3657
893,2.3657
894,2.3694
895,2.3669
896,2.3657
897,2.3657
898,2.3645
899,2.3657
900,2.3645
901,2.3633
902,2.3669
903,2.3633
904,2.3669
905,2.3694
906,2.3682
907,2.3706
908,2.3669
909,2.3669
910,2.3682
911,2.3682
912,2.3682
913,2.3682
914,2.373
915,2.3694
916,2.3657
917,2.3669
918,2.3669
919,2.3682
920,2.3682
921,2.3682
922,2.3669
923,2.3669
924,2.3669
925,2.3657
926,2.3682
927,2.3682
928,2.3669
929,2.3657
930,2.3669
931,2.3682
932,2.373
933,2.3682
934,2.3682
935,2.3682
936,2.3682
937,2.3694
938,2.3694
939,2.3694
940,2.3706
941,2.3682
942,2.3706
943,2.3694
944,2.3694
945,2.3694
946,2.3657
947,2.3682
948,2.3682
949,2.3682
950,2.3706
951,2.3694
952,2.3718
953,2.3694
954,2.3669
955,2.3706
956,2.3718
957,2.3743
958,2.3718
959,2.3718
960,2.3706
961,2.3706
962,2.3706
963,2.3718
964,2.373
965,2.3694
966,2.3682
967,2.3718
968,2.3694
969,2.373
970,2.373
971,2.373
972,2.3743
973,2.3706
974,2.3755
975,2.373
976,2.3706
977,2.3743
978,2.3706
979,2.373
980,2.3718
981,2.3718
982,2.373
983,2.3718
984,2.3718
985,2.373
986,2.3718
987,2.3755
988,2.3755
989,2.373
990,2.3743
991,2.3718
992,2.3755
993,2.373
994,2.3755
995,2.3755
996,2.3743
997,2.3792
998,2.3755
999,2.3743
1000,2.373
1001,2.3743
1002,2.3767
1003,2.3755
1004,2.3767
1005,2.3743
1006,2.373
1007,2.3755
1008,2.3743
1009,2.373
1010,2.3767
1011,2.3755
1012,2.3767
1013,2.3767
1014,2.3743
1015,2.3767
1016,2.3767
1017,2.3779
1018,2.3755
1019,2.3767
1020,2.3743
1021,2.373
1022,2.3767
1023,2.3767
