Time,root.ItalyPowerDemand.d0.s0
0,-0.71051757
1,-1.1833204
2,-1.3724416
3,-1.5930829
4,-1.4670021
5,-1.3724416
6,-1.0887599
7,0.045966947
8,0.92853223
9,1.0861332
10,1.2752543
11,0.96005242
12,0.61333034
13,0.014446758
14,-0.6474772
15,-0.26923494
16,-0.20619456
17,0.61333034
18,1.3698149
19,1.4643754
20,1.054613
21,0.58181015
22,0.1720477
23,-0.26923494
24,-0.99300935
25,-1.4267865
26,-1.5798843
27,-1.6054006
28,-1.6309169
29,-1.3757539
30,-1.0185257
31,-0.35510183
32,0.71658276
33,1.2013925
34,1.1248436
35,1.0482947
36,0.79313166
37,0.46141977
38,0.48693607
39,0.56348497
40,0.61451757
41,0.30832197
42,0.25728936
43,1.0993273
44,1.0482947
45,0.69106647
46,-0.048906237
47,-0.38061813
48,1.3190669
49,0.56977448
50,0.19512825
51,-0.085856424
52,-0.17951799
53,-0.27317954
54,-0.085856424
55,-1.3971182
56,-1.1161336
57,-0.74148733
58,0.0078051347
59,-0.085856424
60,0.0078051347
61,-0.46050266
62,-0.55416422
63,-0.74148733
64,-0.74148733
65,-0.74148733
66,-1.1161336
67,-0.46050266
68,0.47611292
69,2.3493441
70,2.2556825
71,1.6000516
72,-0.81244429
73,-1.1575534
74,-1.4163852
75,-1.5314215
76,-1.5026624
77,-1.4163852
78,-1.6464579
79,-0.46733521
80,0.6542693
81,1.0568965
82,1.3444874
83,1.200692
84,0.99937838
85,0.6542693
86,0.74054657
87,0.88434202
88,0.88434202
89,0.68302839
90,0.62551021
91,0.42419658
92,-0.0071897655
93,-0.035948855
94,0.1078466
95,-0.26602157
96,-0.97284033
97,-1.3905178
98,-1.5367049
99,-1.6202404
100,-1.6202404
101,-1.4531694
102,-0.9937242
103,0.050469368
104,0.63521776
105,1.0320113
106,0.80228873
107,0.8231726
108,0.65610163
109,0.3846113
110,0.32195969
111,0.48903066
112,0.61433389
113,1.3035016
114,1.24085
115,1.0737791
116,0.55168227
117,0.42637904
118,-0.17925321
119,-0.63869838
120,0.36742384
121,-0.27780827
122,-0.76173234
123,-0.86927102
124,-1.1381178
125,-1.0843484
126,-1.1381178
127,-0.60042432
128,-1.0843484
129,-0.27780827
130,0.36742384
131,0.47496251
132,0.52873185
133,0.098577125
134,-0.27780827
135,-0.38534696
136,-0.60042432
137,-0.54665497
138,-0.49288564
139,0.36742384
140,2.3031202
141,2.0880428
142,1.7654268
143,1.173964
144,0.087212802
145,-0.5764553
146,-1.0869692
147,-1.3932776
148,-1.3932776
149,-1.2911748
150,-1.7506373
151,-0.72960947
152,0.34246976
153,1.7208573
154,1.8229601
155,1.7719087
156,1.159292
157,0.80193229
158,0.18931559
159,-0.014889982
160,-0.065941374
161,-0.065941374
162,-0.014889982
163,0.087212802
164,-0.32119833
165,-0.21909555
166,0.7508809
167,0.18931559
168,-1.0990687
169,-1.375564
170,-1.5230281
171,-1.5598942
172,-1.5967602
173,-1.430863
174,-1.1359347
175,-0.23271685
176,0.652068
177,0.94699629
178,1.0022954
179,0.91013026
180,0.79953215
181,0.43087179
182,0.55990291
183,0.63363499
184,0.83639818
185,0.78109913
186,1.2050586
187,0.98386233
188,0.59676895
189,0.30184066
190,-0.12211874
191,-0.56451118
192,-1.1498699
193,-1.5492459
194,-1.4893395
195,-1.5692147
196,-1.5692147
197,-1.4494019
198,-1.0899635
199,0.088195523
200,0.3477899
201,1.0666666
202,1.1066042
203,1.0466978
204,0.64732186
205,0.50754028
206,0.60738427
207,0.62735306
208,0.68725946
209,0.72719705
