Time,root.Meat.d0.s0
0,-0.2499859
1,-0.25622637
2,-0.26013817
3,-0.26296663
4,-0.26584534
5,-0.26786686
6,-0.26855931
7,-0.2686347
8,-0.26861795
9,-0.26728888
10,-0.2635474
11,-0.25910508
12,-0.25319129
13,-0.24532859
14,-0.23557559
15,-0.22501566
16,-0.21505046
17,-0.20459942
18,-0.19303153
19,-0.18370852
20,-0.17915452
21,-0.17963198
22,-0.18120954
23,-0.18170375
24,-0.18001729
25,-0.17490486
26,-0.16874257
27,-0.16024604
28,-0.15260392
29,-0.1427169
30,-0.12771186
31,-0.11215118
32,-0.094379113
33,-0.077575926
34,-0.060906762
35,-0.044047731
36,-0.032108477
37,-0.023036767
38,-0.018144911
39,-0.022428077
40,-0.03511842
41,-0.051555835
42,-0.067102553
43,-0.085332532
44,-0.10677349
45,-0.12725674
46,-0.14654215
47,-0.16449012
48,-0.18051988
49,-0.19322418
50,-0.20263654
51,-0.2108008
52,-0.21745171
53,-0.2216204
54,-0.22509105
55,-0.22604038
56,-0.22137469
57,-0.21349802
58,-0.20654556
59,-0.19960426
60,-0.19265738
61,-0.19045995
62,-0.1918309
63,-0.19687912
64,-0.2098403
65,-0.22588123
66,-0.24141398
67,-0.25844334
68,-0.27367733
69,-0.283475
70,-0.28976852
71,-0.2935826
72,-0.29232893
73,-0.28931061
74,-0.28459466
75,-0.27717032
76,-0.27203555
77,-0.26667461
78,-0.26132763
79,-0.25798263
80,-0.25460692
81,-0.25267754
82,-0.25223917
83,-0.25077887
84,-0.2482408
85,-0.2493465
86,-0.25102179
87,-0.25334765
88,-0.26129692
89,-0.27318591
90,-0.28468959
91,-0.29371384
92,-0.3010935
93,-0.30597977
94,-0.30955931
95,-0.31208342
96,-0.31198011
97,-0.31211134
98,-0.31190193
99,-0.30921588
100,-0.30678112
101,-0.30473168
102,-0.30165193
103,-0.29593081
104,-0.28737285
105,-0.27986475
106,-0.27336182
107,-0.2660715
108,-0.2590241
109,-0.25127308
110,-0.24197242
111,-0.23189553
112,-0.22212578
113,-0.21174455
114,-0.20164532
115,-0.19219667
116,-0.18265309
117,-0.17436039
118,-0.16569354
119,-0.15813797
120,-0.15322098
121,-0.14853296
122,-0.14607307
123,-0.14665384
124,-0.14753895
125,-0.14857763
126,-0.15297248
127,-0.15903146
128,-0.16516024
129,-0.17206803
130,-0.17873849
131,-0.1870954
132,-0.1924368
133,-0.19426007
134,-0.19698801
135,-0.19948978
136,-0.20206415
137,-0.20392093
138,-0.20662653
139,-0.20946056
140,-0.20968394
141,-0.21004971
142,-0.20940193
143,-0.20629705
144,-0.20358587
145,-0.20209765
146,-0.19987231
147,-0.19814396
148,-0.19552213
149,-0.19127247
150,-0.18708424
151,-0.18128772
152,-0.17399182
153,-0.16610957
154,-0.15760746
155,-0.14936781
156,-0.14117842
157,-0.13536795
158,-0.13366194
159,-0.13461406
160,-0.14016487
161,-0.1476981
162,-0.1579146
163,-0.17227186
164,-0.18574959
165,-0.1997327
166,-0.21402853
167,-0.22557409
