Time,root.MelbournePedestrian.d0.s0
0,97.0
1,42.0
2,20.0
3,10.0
4,14.0
5,33.0
6,113.0
7,422.0
8,875.0
9,1003.0
10,1351.0
11,1613.0
12,2937.0
13,2954.0
14,2167.0
15,2330.0
16,2191.0
17,2621.0
18,2400.0
19,1892.0
20,1253.0
21,844.0
22,438.0
23,204.0
24,107.0
25,50.0
26,41.0
27,17.0
28,48.0
29,35.0
30,102.0
31,326.0
32,856.0
33,956.0
34,1397.0
35,2079.0
36,3570.0
37,3857.0
38,2999.0
39,3032.0
40,2794.0
41,3061.0
42,2323.0
43,1463.0
44,773.0
45,646.0
46,305.0
47,158.0
48,416.0
49,193.0
50,75.0
51,82.0
52,49.0
53,38.0
54,150.0
55,232.0
56,461.0
57,907.0
58,1548.0
59,2294.0
60,3253.0
61,3690.0
62,3809.0
63,3675.0
64,3494.0
65,3366.0
66,3265.0
67,2272.0
68,2178.0
69,2175.0
70,1750.0
71,871.0
72,309.0
73,229.0
74,142.0
75,143.0
76,74.0
77,70.0
78,62.0
79,82.0
80,198.0
81,761.0
82,1517.0
83,2398.0
84,3225.0
85,3541.0
86,3614.0
87,3501.0
88,3239.0
89,2839.0
90,2159.0
91,1365.0
92,762.0
93,497.0
94,1146.0
95,546.0
96,277.0
97,169.0
98,99.0
99,91.0
100,27.0
101,39.0
102,53.0
103,83.0
104,169.0
105,665.0
106,1247.0
107,2124.0
108,2249.0
109,2615.0
110,2873.0
111,3081.0
112,3065.0
113,2554.0
114,1868.0
115,1009.0
116,538.0
117,394.0
118,234.0
119,137.0
120,191.0
121,160.0
122,98.0
123,104.0
124,80.0
125,37.0
126,75.0
127,128.0
128,267.0
129,865.0
130,1686.0
131,2632.0
132,3127.0
133,3564.0
134,3532.0
135,3742.0
136,3430.0
137,3180.0
138,2606.0
139,1966.0
140,1517.0
141,945.0
142,603.0
143,319.0
144,72.0
145,48.0
146,10.0
147,10.0
148,13.0
149,32.0
150,101.0
151,268.0
152,934.0
153,1033.0
154,1541.0
155,2158.0
156,3667.0
157,3923.0
158,3338.0
159,3266.0
160,3062.0
161,3371.0
162,2746.0
163,1776.0
164,855.0
165,630.0
166,314.0
167,149.0
168,55.0
169,48.0
170,15.0
171,21.0
172,13.0
173,47.0
174,122.0
175,318.0
176,915.0
177,1033.0
178,1314.0
179,1903.0
180,3106.0
181,3333.0
182,2731.0
183,2742.0
184,2764.0
185,3442.0
186,2786.0
187,2130.0
188,1291.0
189,846.0
190,425.0
191,229.0
192,261.0
193,156.0
194,110.0
195,106.0
196,57.0
197,31.0
198,43.0
199,91.0
200,325.0
201,783.0
202,1431.0
203,2368.0
204,2909.0
205,3370.0
206,3420.0
207,3894.0
208,3972.0
209,3515.0
210,2943.0
211,2416.0
212,1180.0
213,719.0
214,735.0
215,491.0
216,309.0
217,210.0
218,111.0
219,116.0
220,54.0
221,41.0
222,33.0
223,152.0
224,305.0
225,827.0
226,1625.0
227,2477.0
228,3081.0
229,3584.0
230,4025.0
231,4105.0
232,3893.0
233,3578.0
234,2990.0
235,2274.0
236,1122.0
237,849.0
238,844.0
239,509.0
240,80.0
241,72.0
242,35.0
243,39.0
244,27.0
245,19.0
246,99.0
247,274.0
248,829.0
249,1014.0
250,1505.0
251,2146.0
252,3058.0
253,3365.0
254,2736.0
255,2936.0
256,3104.0
257,3360.0
258,2938.0
259,1954.0
260,1468.0
261,908.0
262,440.0
263,249.0
264,541.0
265,222.0
266,132.0
267,99.0
268,59.0
269,43.0
270,71.0
271,290.0
272,550.0
273,1186.0
274,1767.0
275,2695.0
276,3269.0
277,3224.0
278,3346.0
279,3291.0
280,3056.0
281,2767.0
282,2249.0
283,2549.0
284,2469.0
285,2561.0
286,2054.0
287,1119.0
288,304.0
289,166.0
290,110.0
291,79.0
292,30.0
293,17.0
294,37.0
295,114.0
296,369.0
297,746.0
298,1549.0
299,2241.0
300,2973.0
301,3555.0
302,3711.0
303,3821.0
304,4052.0
305,3534.0
306,2924.0
307,2427.0
308,1310.0
309,828.0
310,906.0
311,439.0
312,80.0
313,71.0
314,64.0
315,17.0
316,53.0
317,34.0
318,175.0
319,342.0
320,928.0
321,1143.0
322,1610.0
323,2222.0
324,3526.0
325,3783.0
326,3041.0
327,3163.0
328,3288.0
329,3849.0
330,3692.0
331,2676.0
332,2181.0
333,1291.0
334,817.0
335,526.0
336,65.0
337,30.0
338,34.0
339,7.0
340,11.0
341,34.0
342,110.0
343,314.0
344,931.0
345,990.0
346,1259.0
347,1764.0
348,2946.0
349,3453.0
350,2631.0
351,2491.0
352,2503.0
353,3044.0
354,2725.0
355,1742.0
356,1187.0
357,754.0
358,351.0
359,137.0
360,261.0
361,190.0
362,113.0
363,88.0
364,48.0
365,61.0
366,51.0
367,52.0
368,218.0
