Time,root.Plane.d0.s0
0,2.4839397
1,2.2762865
2,2.0675157
3,1.9218926
4,1.7187752
5,1.5084285
6,1.3006752
7,1.0902862
8,0.88273283
9,0.67230088
10,0.46338263
11,0.25452493
12,0.045738433
13,-0.15618851
14,-0.20898526
15,-0.39491294
16,-0.59416173
17,-0.79717148
18,-0.97459659
19,-1.1281626
20,-1.2471358
21,-1.3508344
22,-1.4282984
23,-1.4765422
24,-1.4546148
25,-1.3188356
26,-1.1199756
27,-1.1040958
28,-1.2081262
29,-1.2945136
30,-1.3931779
31,-1.4103987
32,-1.3336806
33,-1.2434818
34,-1.1145749
35,-0.9665368
36,-0.8024914
37,-0.64442211
38,-0.4572488
39,-0.25953338
40,-0.054255002
41,0.14351679
42,0.33844969
43,0.50235236
44,0.63060267
45,0.80258345
46,0.92499573
47,1.0185689
48,0.94160626
49,0.78640155
50,0.63606792
51,0.49115316
52,0.33762623
53,0.20479898
54,0.07939273
55,-0.03902151
56,-0.16309908
57,-0.26187753
58,-0.3681949
59,-0.4447979
60,-0.5155321
61,-0.57885785
62,-0.60417059
63,-0.4401343
64,-0.24160479
65,-0.044280987
66,0.15794856
67,0.36140318
68,0.56589983
69,0.77289208
70,0.9802118
71,1.1632106
72,1.2201003
73,1.2448232
74,1.2576725
75,1.113846
76,0.94949552
77,0.74304119
78,0.53938188
79,0.33519671
80,0.13240447
81,-0.074559373
82,-0.27855772
83,-0.47648501
84,-0.57308581
85,-0.52120377
86,-0.45570444
87,-0.36156084
88,-0.27102608
89,-0.18635233
90,-0.074927738
91,0.060174087
92,0.18753486
93,0.31068827
94,0.45322006
95,0.59745794
96,0.75049069
97,0.87749981
98,0.86053266
99,0.72897203
100,0.56517427
101,0.41736482
102,0.27296108
103,0.061688525
104,-0.12986154
105,-0.31680962
106,-0.49146469
107,-0.67633946
108,-0.8293904
109,-0.96978819
110,-1.1316148
111,-1.2544451
112,-1.3336289
113,-1.407287
114,-1.3467957
115,-1.2444196
116,-1.1450764
117,-1.0710609
118,-1.2579381
119,-1.4085376
120,-1.4385671
121,-1.3845227
122,-1.306864
123,-1.2136958
124,-1.0970526
125,-0.96014143
126,-0.77578245
127,-0.58169666
128,-0.38548837
129,-0.20527476
130,-0.11699439
131,0.090279239
132,0.29779206
133,0.50550708
134,0.71339453
135,0.91586026
136,1.1204496
137,1.3263464
138,1.5322099
139,1.7399188
140,1.9457323
141,2.1539857
142,2.3612278
143,2.4839393
144,2.6033202
145,2.3406991
146,2.0822848
147,1.8256242
148,1.5677057
149,1.312203
150,1.0571948
151,0.80171574
152,0.54668324
153,0.29184852
154,0.036620124
155,-0.076145805
156,-0.077345421
157,-0.32715917
158,-0.55385214
159,-0.77740075
160,-0.98743954
161,-1.1772381
162,-1.3417039
163,-1.4877612
164,-1.5913839
165,-1.5398392
166,-1.3617477
167,-1.1602
168,-0.94445714
169,-0.72419347
170,-0.49296528
171,-0.25654058
172,-0.018473971
173,0.22906779
174,0.4758472
175,0.72738842
176,0.97984925
177,1.2146635
178,1.3530934
179,1.429684
180,1.2298086
181,0.97486519
182,0.72410721
183,0.47393361
184,0.22447252
185,-0.026501199
186,-0.27701261
187,-0.52358636
188,-0.76843155
189,-1.0109777
190,-1.258246
191,-1.4942601
192,-1.724048
193,-1.9442474
194,-2.1024786
195,-1.8902902
196,-1.573859
197,-1.2427513
198,-0.91161286
199,-0.58045518
200,-0.40182176
201,-0.23661222
202,0.080087751
203,0.12946244
204,0.22720245
205,0.34161686
206,0.51234783
207,0.54215024
208,0.60380459
209,0.47066135
210,0.30967422
211,0.14081188
212,-0.015294395
213,-0.15568651
214,-0.25551463
215,-0.09824746
216,0.14596096
217,0.37101772
218,0.17575741
219,-0.081246783
220,-0.33595479
221,-0.24018851
222,-0.077118922
223,-0.23480484
224,-0.31742572
225,-0.18653007
226,0.027555374
227,0.32381875
228,0.59511506
229,0.48047297
230,0.28888398
231,0.45603055
232,0.60415011
233,0.59232869
234,0.33892255
235,0.059411418
236,-0.24776083
237,-0.55447174
238,-0.86046958
239,-1.1502966
240,-1.3889489
241,-1.5647913
242,-1.6519986
243,-1.4012887
244,-1.1597827
245,-0.91515415
246,-0.66830737
247,-0.41982704
248,-0.17010698
249,0.076760915
250,0.32628718
251,0.57857465
252,0.831323
253,1.084451
