Time,root.PowerCons.d0.s0
0,0.44
1,0.4
2,0.36
3,0.35
4,0.35
5,0.38
6,0.36
7,0.35
8,0.35
9,0.38
10,0.38
11,0.38
12,0.42
13,0.45
14,0.43
15,0.37
16,0.66
17,1.13
18,1.35
19,1.09
20,0.75
21,0.41
22,0.37
23,0.33
24,0.33
25,0.4
26,0.4
27,0.39
28,0.4
29,0.43
30,0.4
31,0.35
32,0.31
33,0.33
34,0.33
35,0.33
36,0.3
37,0.3
38,0.33
39,0.36
40,1.1
41,1.83
42,1.93
43,2.04
44,2.04
45,1.93
46,1.93
47,1.53
48,1.36
49,1.19
50,2.25
51,3.31
52,3.08
53,2.85
54,2.04
55,1.24
56,1.26
57,1.29
58,1.31
59,1.34
60,1.79
61,2.25
62,1.73
63,1.21
64,1.12
65,0.97
66,0.82
67,0.47
68,0.11
69,0.16
70,0.22
71,0.62
72,0.82
73,0.63
74,0.35
75,0.3
76,0.22
77,0.17
78,0.27
79,0.21
80,0.15
81,0.16
82,0.22
83,0.31
84,0.48
85,0.65
86,1.01
87,1.36
88,0.92
89,0.52
90,0.23
91,0.21
92,0.19
93,0.16
94,0.16
95,0.17
96,0.17
97,0.17
98,0.18
99,0.18
100,0.16
101,0.19
102,0.25
103,0.28
104,0.26
105,0.23
106,0.21
107,0.2
108,0.18
109,0.14
110,0.25
111,0.37
112,0.58
113,0.7
114,0.74
115,0.56
116,0.38
117,0.32
118,0.3
119,0.32
120,0.31
121,0.31
122,0.85
123,1.4
124,1.82
125,2.24
126,2.29
127,2.34
128,2.38
129,2.38
130,1.23
131,1.23
132,1.18
133,1.14
134,0.77
135,0.4
136,0.33
137,0.29
138,0.28
139,0.24
140,0.22
141,0.23
142,0.25
143,0.25
144,0.14
145,0.19
146,0.19
147,0.16
148,0.16
149,0.18
150,0.17
151,0.16
152,0.17
153,0.17
154,0.16
155,0.18
156,0.18
157,0.14
158,0.13
159,0.16
160,0.19
161,0.14
162,0.15
163,0.18
164,0.18
165,0.15
166,0.16
167,0.19
168,0.17
169,0.16
170,0.16
171,0.17
172,0.16
173,0.18
174,0.17
175,0.14
176,0.15
177,0.17
178,0.18
179,0.1
180,0.37
181,0.64
182,0.89
183,1.14
184,1.19
185,1.24
186,0.68
187,0.12
188,0.16
189,0.17
190,0.16
191,0.18
192,0.16
193,0.14
194,0.15
195,0.16
196,0.16
197,0.13
198,0.16
199,0.14
200,0.12
201,0.14
202,0.17
203,0.18
204,0.16
205,0.16
206,0.16
207,0.16
208,0.17
209,0.22
210,0.25
211,0.25
212,0.27
213,0.29
214,0.17
215,0.13
216,0.17
217,0.18
218,0.16
219,0.15
220,0.16
221,0.16
222,0.16
223,0.18
224,0.16
225,0.14
226,0.16
227,0.18
228,0.16
229,0.13
230,0.17
231,0.14
232,0.1
233,0.13
234,0.17
235,0.18
236,0.16
237,0.16
238,0.16
239,0.16
240,0.16
241,0.18
242,0.15
243,0.15
244,0.18
245,0.2
246,0.18
247,0.2
248,0.22
249,0.21
250,0.2
251,0.22
252,0.71
253,1.2
254,1.21
255,1.26
256,1.33
257,1.41
258,1.48
259,1.15
260,0.83
261,0.62
262,0.4
263,0.37
264,0.32
265,0.26
266,0.23
267,0.25
268,0.24
269,0.23
270,0.23
271,0.25
272,0.25
273,0.21
274,0.22
275,0.26
276,0.29
277,0.39
278,0.48
279,0.62
280,0.39
281,0.17
282,0.14
283,0.7
284,1.25
285,1.21
286,1.2
287,1.24
288,0.34
289,0.34
290,0.34
291,0.26
292,0.18
293,0.83
294,1.48
295,1.36
296,0.95
297,0.55
298,0.42
299,0.29
300,0.26
301,0.24
302,0.24
303,0.25
304,0.23
305,0.25
306,0.26
307,0.25
308,0.25
309,0.26
310,0.28
311,0.3
312,0.33
313,0.31
314,0.3
315,0.27
316,0.25
317,0.22
318,0.2
319,0.22
320,0.24
321,0.22
322,0.19
323,0.22
324,0.24
325,0.24
326,0.25
327,1.79
328,3.33
329,2.94
330,2.54
331,2.54
332,1.58
333,1.58
334,1.46
335,1.34
336,1.61
337,1.79
338,1.96
339,1.97
340,1.63
341,1.29
342,1.31
343,1.34
344,1.32
345,1.3
346,1.28
347,1.26
348,1.24
349,1.21
350,0.92
351,0.64
352,0.45
353,0.26
354,0.23
355,0.24
356,0.26
357,0.25
358,0.25
359,0.29
360,0.34
361,0.33
362,0.33
363,0.31
364,0.29
365,0.32
366,0.35
367,0.31
368,0.27
369,0.23
370,0.2
371,1.29
372,2.39
373,0.77
374,0.75
375,0.74
376,1.08
377,1.42
378,1.37
379,1.58
380,1.79
381,1.04
382,0.29
383,0.35
384,0.32
385,0.28
386,0.3
387,0.32
388,0.19
389,0.17
390,0.16
391,0.24
392,0.32
393,0.32
394,0.32
395,0.32
396,0.28
397,0.28
398,0.26
399,0.25
400,0.26
401,0.27
402,0.24
403,0.21
404,0.21
405,0.21
406,0.23
407,0.24
408,0.93
409,1.62
410,2.12
411,2.63
412,2.63
413,1.18
414,1.18
415,1.01
416,0.83
417,0.78
418,0.74
419,0.72
420,0.71
421,0.7
422,0.84
423,0.97
424,1.23
425,1.49
426,1.17
427,0.85
428,0.83
429,0.79
430,0.75
431,0.73
432,1.7
433,1.5
434,1.3
435,3.4
436,5.5
437,4.15
438,2.8
439,2.67
440,2.53
441,2.49
442,2.45
443,2.41
444,1.64
445,0.88
446,0.53
447,0.19
448,0.17
449,0.16
