Time,root.Wine.d0.s0
0,1.781622
1,1.641665
2,1.5139373
3,1.3943625
4,1.2820346
5,1.174689
6,1.0705139
7,0.97041528
8,0.87394012
9,0.7806355
10,0.69367197
11,0.61440833
12,0.53967405
13,0.46946912
14,0.40379353
15,0.34174143
16,0.28648336
17,0.23847224
18,0.19680222
19,0.16011448
20,0.12614435
21,0.092627154
22,0.06273344
23,0.042804298
24,0.029216246
25,0.016987
26,0.0015872083
27,-0.012000843
28,-0.016077259
29,-0.0056597525
30,0.021063415
31,0.069980401
32,0.15196165
33,0.27515998
34,0.4640339
35,0.7729356
36,1.2598408
37,1.8445799
38,2.060177
39,1.5628543
40,0.86669316
41,0.38748787
42,0.14199707
43,0.041898428
44,0.029216246
45,0.078133232
46,0.17687307
47,0.30188315
48,0.39337603
49,0.36121764
50,0.19499048
51,-0.0047538824
52,-0.15648712
53,-0.24979174
54,-0.30052047
55,-0.32814951
56,-0.34671985
57,-0.36393138
58,-0.38204878
59,-0.39971325
60,-0.41873652
61,-0.44138327
62,-0.46584176
63,-0.48848852
64,-0.50434124
65,-0.51339994
66,-0.51974104
67,-0.52789387
68,-0.54057605
69,-0.55506997
70,-0.56548748
71,-0.57046976
72,-0.57364031
73,-0.57545205
74,-0.57545205
75,-0.57454618
76,-0.5722815
77,-0.56729922
78,-0.56050519
79,-0.55280529
80,-0.5451054
81,-0.53876431
82,-0.53378202
83,-0.52879974
84,-0.52336452
85,-0.5179293
86,-0.5115882
87,-0.50570005
88,-0.50026483
89,-0.49618841
90,-0.49120613
91,-0.48486504
92,-0.47580634
93,-0.46221828
94,-0.44455382
95,-0.42326587
96,-0.39926031
97,-0.38068997
98,-0.3797841
99,-0.39473096
100,-0.41194249
101,-0.42236
102,-0.42643641
103,-0.42598348
104,-0.42236
105,-0.4146601
106,-0.40378966
107,-0.39110748
108,-0.38068997
109,-0.37208421
110,-0.36438431
111,-0.35894909
112,-0.35804322
113,-0.36347844
114,-0.37706649
115,-0.3951839
116,-0.41148956
117,-0.42643641
118,-0.43775979
119,-0.44228914
120,-0.44093034
121,-0.43323044
122,-0.40967782
123,-0.3603079
124,-0.30459689
125,-0.26926795
126,-0.25115055
127,-0.25930338
128,-0.27742078
129,-0.28693242
130,-0.28376187
131,-0.27153263
132,-0.25794458
133,-0.24752707
134,-0.24390359
135,-0.25250936
136,-0.26655034
137,-0.28738535
138,-0.31501439
139,-0.34128463
140,-0.36664899
141,-0.36981953
142,-0.34581398
143,-0.30278515
144,-0.28330894
145,-0.34173756
146,-0.40786608
147,-0.46221828
148,-0.49301787
149,-0.50977646
150,-0.51430581
151,-0.50841766
152,-0.50887059
153,-0.52245865
154,-0.53967018
155,-0.54737007
156,-0.54737007
157,-0.53831137
158,-0.526988
159,-0.51430581
160,-0.49573548
161,-0.47852395
162,-0.46357709
163,-0.44636556
164,-0.42598348
165,-0.40061912
166,-0.37163127
167,-0.33901995
168,-0.30822037
169,-0.26790915
170,-0.21853923
171,-0.15784593
172,-0.084923386
173,-0.0269477
174,0.061374635
175,0.14562055
176,0.26293073
177,0.37661743
178,0.50615685
179,0.65154901
180,0.81596443
181,1.000309
182,1.2054886
183,1.4269738
184,1.6751822
185,1.9152378
186,2.1593698
187,2.4279603
188,2.6376692
189,2.8573427
190,2.9905056
191,3.0548224
192,3.1195921
193,3.0983042
194,2.9479297
195,2.8070669
196,2.6227223
197,2.5185473
198,2.3169912
199,2.1004882
200,1.8613385
201,1.614036
202,1.376698
203,1.1457011
204,0.85854032
205,0.65336075
206,0.45588106
207,0.23031941
208,0.0043048186
209,-0.17233985
210,-0.34536104
211,-0.492112
212,-0.6510922
213,-0.80056077
214,-0.9056417
215,-1.0129873
216,-1.1094625
217,-1.2208845
218,-1.3024128
219,-1.384847
220,-1.4523343
221,-1.5225392
222,-1.5755326
223,-1.6239967
224,-1.6701961
225,-1.7096014
226,-1.7449303
227,-1.7829769
228,-1.8106059
229,-1.8373291
230,-1.8608817
231,-1.8803579
232,-1.9011929
233,-1.9188574
234,1.7797497
235,1.6388558
236,1.512006
237,1.3919518
238,1.277787
239,1.1704177
240,1.0666727
241,0.96700499
242,0.87141462
243,0.7789955
244,0.69065369
245,0.61091954
246,0.53752788
247,0.46730747
248,0.40071133
249,0.33955162
250,0.28473439
251,0.23580662
252,0.19367437
253,0.15607247
254,0.12209485
255,0.08992937
256,0.060935134
257,0.039642492
258,0.026051445
259,0.012913432
260,-0.0024897561
261,-0.016080804
262,-0.020611153
263,-0.010644385
264,0.016537711
265,0.066371553
266,0.14927695
267,0.27657976
268,0.47047871
269,0.78443192
270,1.2814112
271,1.8766991
272,2.0964211
273,1.5908341
274,0.88228746
275,0.39346277
276,0.14384053
277,0.041907667
278,0.027863584
279,0.078150462
280,0.17963029
281,0.30874524
282,0.40252347
283,0.36945192
284,0.19911079
285,-0.0056610006
286,-0.15969288
287,-0.25437718
288,-0.30647619
289,-0.33501739
290,-0.35313879
291,-0.36944805
292,-0.38621034
293,-0.40342567
294,-0.4220001
295,-0.44510488
296,-0.47047484
297,-0.49312659
298,-0.50898281
299,-0.51849654
300,-0.52529207
301,-0.53389973
302,-0.54703774
303,-0.56153486
304,-0.57150163
305,-0.57693805
306,-0.58056233
307,-0.58237447
308,-0.58373357
309,-0.58373357
310,-0.5814684
311,-0.57739108
312,-0.57014252
313,-0.56289396
314,-0.55564541
315,-0.54930292
316,-0.5438665
317,-0.53843008
318,-0.53299366
319,-0.52755724
320,-0.52076172
321,-0.51441923
322,-0.50943584
323,-0.50490549
324,-0.49992211
325,-0.49403266
326,-0.48497196
327,-0.47138091
328,-0.45416558
329,-0.43196687
330,-0.40523781
331,-0.38485124
332,-0.38394517
333,-0.39980139
334,-0.41656368
335,-0.42788956
336,-0.43287294
337,-0.43196687
338,-0.42698349
339,-0.41837582
340,-0.40659691
341,-0.39300587
342,-0.38122696
343,-0.37216626
344,-0.36446467
345,-0.35902825
346,-0.35857521
347,-0.36446467
348,-0.37896178
349,-0.39708318
350,-0.41384547
351,-0.42834259
352,-0.43921543
353,-0.44374578
354,-0.44238667
355,-0.43423204
356,-0.41067423
357,-0.35993432
358,-0.30285191
359,-0.26615609
360,-0.24758165
361,-0.25483021
362,-0.2715925
363,-0.28020017
364,-0.27476375
365,-0.26162574
366,-0.24667558
367,-0.23534971
368,-0.22946026
369,-0.23625578
370,-0.25029986
371,-0.27113947
372,-0.29968067
373,-0.32776884
374,-0.35404486
375,-0.35766914
376,-0.33411133
377,-0.29152604
378,-0.27204554
379,-0.33184615
380,-0.40025442
381,-0.45597772
382,-0.48950231
383,-0.50717067
384,-0.51306012
385,-0.50807674
386,-0.50898281
387,-0.52212082
388,-0.54114829
389,-0.54930292
390,-0.54975595
391,-0.54069525
392,-0.52982241
393,-0.51713744
394,-0.498563
395,-0.48044161
396,-0.46277325
397,-0.44374578
398,-0.41973493
399,-0.38938159
400,-0.35540397
401,-0.3182551
402,-0.28608962
403,-0.24486344
404,-0.1936705
405,-0.13205775
406,-0.060478227
407,-0.0024897561
408,0.08630509
409,0.17056959
410,0.28699956
411,0.39935223
412,0.52756111
413,0.67072015
414,0.83109452
415,1.0104963
416,1.2143621
417,1.433631
418,1.6773638
419,1.9147541
420,2.1544095
421,2.4149046
422,2.6251128
423,2.848006
424,2.9793862
425,3.041905
426,3.1053299
427,3.0894736
428,2.9417843
429,2.795907
430,2.613787
431,2.5127602
432,2.3107066
433,2.0923438
434,1.8545004
435,1.6085025
436,1.3702061
437,1.1391583
438,0.85012198
439,0.64217895
440,0.44329662
441,0.21677915
442,-0.01019135
443,-0.18732801
444,-0.35948128
445,-0.50445246
446,-0.66029647
447,-0.8084389
448,-0.91263693
449,-1.0186471
450,-1.1142375
451,-1.2238719
452,-1.3040591
453,-1.3856054
454,-1.4517485
455,-1.5219689
456,-1.575427
457,-1.6243548
458,-1.6705644
459,-1.7104314
460,-1.7457682
461,-1.7833701
462,-1.8110052
463,-1.8377343
464,-1.8612921
465,-1.8807726
466,-1.9016122
467,-1.9192805
468,1.7764922
469,1.6362602
470,1.5082816
471,1.3884718
472,1.2754694
473,1.1665514
474,1.0635331
475,0.96505305
476,0.86838833
477,0.7753542
478,0.68912745
479,0.60880042
480,0.53528077
481,0.46539172
482,0.39867945
483,0.33695925
484,0.28113877
485,0.23394097
486,0.1926429
487,0.15497542
488,0.12048472
489,0.08780932
490,0.059218345
491,0.03879622
492,0.025181469
493,0.012928194
494,-0.0011403808
495,-0.014755131
496,-0.017931906
497,-0.0065862808
498,0.021097044
499,0.072833095
500,0.15769837
501,0.2852232
502,0.47991412
503,0.79623015
504,1.2954377
505,1.8949405
506,2.1173147
507,1.6076693
508,0.8933487
509,0.40049475
510,0.1490757
511,0.045603595
512,0.031535019
513,0.083724895
514,0.18628935
515,0.31562947
516,0.41138655
517,0.38052645
518,0.2089806
519,0.0020363942
520,-0.15453323
521,-0.25029031
522,-0.30248018
523,-0.33107116
524,-0.34967798
525,-0.36692333
526,-0.38462251
527,-0.40277551
528,-0.42274381
529,-0.44588888
530,-0.47084926
531,-0.49354051
532,-0.50987821
533,-0.51940854
534,-0.52576209
535,-0.53393094
536,-0.54663804
537,-0.56206809
538,-0.57341371
539,-0.57885961
540,-0.58203639
541,-0.58430551
542,-0.58475934
543,-0.58475934
544,-0.58249021
545,-0.57795196
546,-0.57114459
547,-0.56342956
548,-0.55616836
549,-0.55026864
550,-0.54436891
