Time,root.Worms.d0.s0
0,1.6605051
1,1.7390916
2,1.8127664
3,1.847148
4,1.9011762
5,1.9355578
6,1.9060879
7,1.9453811
8,1.9257345
9,1.9159112
10,1.9601161
11,1.9011762
12,1.9060879
13,1.861883
14,1.8520597
15,1.9011762
16,1.832413
17,1.8029431
18,1.7390916
19,1.6752401
20,1.5671837
21,1.5328021
22,1.4542156
23,1.3952757
24,1.3559825
25,1.277396
26,1.1546046
27,1.0858414
28,1.0269016
29,1.0318132
30,0.97287338
31,0.91393352
32,0.85990531
33,0.80096545
34,0.74202558
35,0.68308572
36,0.62905751
37,0.58485262
38,0.51117779
39,0.32453489
40,0.28032999
41,0.22139013
42,0.11333372
43,0.078952129
44,-0.043839251
45,-0.088044148
46,-0.11751408
47,-0.11260242
48,-0.15680732
49,-0.25995208
50,-0.21574718
51,-0.17645394
52,-0.088044148
53,0.00036564544
54,0.029835577
55,0.024923922
56,0.059305508
57,0.044570542
58,0.093687095
59,0.039658887
60,0.034747232
61,0.059305508
62,0.049482198
63,0.034747232
64,0.059305508
65,0.069128818
66,0.064217163
67,0.13789199
68,0.15262696
69,0.11824537
70,0.20174351
71,0.24594841
72,0.27541834
73,0.30979992
74,0.39329806
75,0.47188455
76,0.4767962
77,0.59958758
78,0.64870413
79,0.76658386
80,0.84025869
81,0.94340345
82,1.0465482
83,1.149693
84,1.2528377
85,1.3559825
86,1.4591272
87,1.562272
88,1.6408585
89,1.7832965
90,1.861883
91,1.9306461
92,2.0337909
93,2.0632608
94,2.2007872
95,2.2253455
96,2.2695504
97,2.259727
98,2.2056988
99,2.1713173
100,2.1614939
101,2.1516706
102,2.1860522
103,2.1664056
104,2.1811406
105,2.1762289
106,2.2007872
107,2.2695504
108,2.3039319
109,2.4365466
110,2.4561933
111,2.544603
112,2.574073
113,2.574073
114,2.6673944
115,2.6673944
116,2.6821294
117,2.6673944
118,2.6723061
119,2.6231895
120,2.574073
121,2.5249564
122,2.4807515
123,2.431635
124,2.3825184
125,2.3334019
126,2.2007872
127,2.0976424
128,1.9502928
129,1.8913529
130,1.719445
131,1.6163002
132,1.5328021
133,1.4394806
134,1.3314242
135,1.2282794
136,1.1546046
137,1.0760181
138,1.0269016
139,0.93358014
140,0.79114213
141,0.71255565
142,0.63396917
143,0.51117779
144,0.36873979
145,0.25577172
146,0.11333372
147,0.00036564544
148,-0.078220838
149,-0.12242573
150,-0.17645394
151,-0.27468705
152,-0.35818519
153,-0.37292015
154,-0.39256677
155,-0.41712505
156,-0.43677167
157,-0.45641829
158,-0.48097657
159,-0.50062319
160,-0.52026981
161,-0.54973974
162,-0.55956305
163,-0.55956305
164,-0.55465139
165,-0.55465139
166,-0.52026981
167,-0.58412133
168,-0.59885629
169,-0.63814953
170,-0.65779615
171,-0.64306119
172,-0.67744277
173,-0.77076422
174,-0.80514581
175,-0.82970409
176,-0.77567588
177,-0.73638264
178,-0.73638264
179,-0.64797284
180,-0.56938636
181,-0.48588822
182,-0.41221339
183,-0.31398029
184,-0.24521712
185,-0.11751408
186,-0.019280975
187,0.078952129
188,0.17718523
189,0.27050668
190,0.36873979
191,0.46697289
192,0.51117779
193,0.64870413
194,0.69782069
195,0.80096545
196,0.84025869
197,0.93849179
198,0.95813841
199,0.92866848
200,0.88446358
201,0.86481696
202,0.90902186
203,0.89428689
204,0.87464027
205,0.82552372
206,0.79605379
207,0.81078876
208,0.79605379
209,0.79605379
210,0.76658386
211,0.77149551
212,0.8058771
213,0.82552372
214,0.78131882
215,0.72237896
216,0.65361579
217,0.58976427
218,0.5210011
219,0.45714958
220,0.38838641
221,0.31962323
222,0.25577172
223,0.18700854
224,0.12315703
225,-0.053662562
226,-0.043839251
227,-0.1813656
228,-0.22065884
229,-0.30415698
230,-0.31889194
231,-0.40730174
232,-0.4662416
233,-0.54482808
234,-0.61359126
235,-0.69217774
236,-0.72655933
237,-0.77567588
238,-0.81496912
239,-0.82479243
240,-0.80023415
241,-0.85426236
242,-0.84935071
243,-1.016347
244,-1.0556402
245,-1.0801985
246,-1.0703752
247,-1.0998451
248,-1.1489617
249,-1.14405
250,-1.1636966
251,-1.17352
252,-1.1980782
253,-1.17352
254,-1.1882549
255,-1.1784316
256,-1.2521064
257,-1.2079015
258,-1.1784316
259,-1.1636966
260,-1.1342267
261,-1.0507286
262,-0.99670036
263,-0.9377605
264,-0.88373229
265,-0.82970409
266,-0.77567588
267,-0.72164767
268,-0.66761946
269,-0.61359126
270,-0.55956305
271,-0.4662416
272,-0.39747843
273,-0.26486374
274,-0.24521712
275,-0.19118891
276,-0.092955804
277,0.020012266
278,0.088775439
279,0.11824537
280,0.25577172
281,0.36382813
282,0.41785634
283,0.56029434
284,0.6634391
285,0.77640717
286,0.88937524
287,0.92866848
288,1.0219899
289,1.0760181
290,1.0219899
291,0.97778503
292,0.92375683
293,1.0121666
294,1.1103997
295,1.134958
296,1.2086328
297,1.2724843
298,1.3412475
299,1.3756291
300,1.3707175
301,1.4149223
302,1.3559825
303,1.2724843
304,1.2282794
305,1.1889862
306,1.1447813
307,1.1005764
308,1.0612832
309,1.0170783
310,0.95322676
311,0.9041102
312,0.86972862
313,0.77149551
314,0.72237896
315,0.64379248
316,0.58485262
317,0.57502931
318,0.51608944
319,0.42276799
320,0.32944654
321,0.25577172
322,0.18209689
323,0.078952129
324,-0.029104286
325,-0.12242573
326,-0.17645394
327,-0.25012877
328,-0.34836187
329,-0.44168332
330,-0.59394464
331,-0.67253112
332,-0.72655933
333,-0.79041084
334,-0.87882064
335,-0.92302553
336,-0.94267216
337,-1.158785
338,-1.2324598
339,-1.3503395
340,-1.4043677
341,-1.5517174
342,-1.5959223
343,-1.5910106
344,-1.6106573
345,-1.5369824
346,-1.5075125
347,-1.5124242
348,-1.5026009
349,-1.5468057
350,-1.5271591
351,-1.571364
352,-1.6990671
353,-1.7187137
354,-1.8464167
355,-1.8807983
356,-1.998678
357,-2.1214694
358,-2.1754976
359,-2.3081123
360,-2.4112571
361,-2.4161687
362,-2.4898435
363,-2.5193135
364,-2.5193135
365,-2.4456387
366,-2.455462
367,-2.3866988
368,-2.3228473
369,-2.2540841
370,-2.1853209
371,-2.1214694
372,-2.0527062
373,-1.9839431
374,-1.8955333
375,-1.8758866
376,-1.8120351
377,-1.743272
378,-1.6450389
379,-1.4731309
380,-1.5124242
381,-1.428926
382,-1.3503395
383,-1.2570181
384,-1.1931666
385,-1.1293151
386,-1.0507286
387,-1.0212586
388,-0.92302553
389,-0.68726608
390,-0.71182436
391,-0.55956305
392,-0.4220367
393,-0.34836187
394,-0.20592387
395,-0.14207236
396,-0.10769077
397,0.054393853
398,0.16245027
399,0.34418151
400,0.43750296
401,0.42276799
402,0.49153117
403,0.4767962
404,0.50626613
405,0.52591275
406,0.57994096
407,0.59467593
408,0.58485262
409,0.6634391
410,0.64379248
411,0.62414586
412,0.60941089
413,0.58976427
414,0.57011765
415,0.55047103
416,0.55538268
417,0.54555937
418,0.52591275
419,0.48170786
420,0.42767965
421,0.35400482
422,0.3343582
423,0.23121344
424,0.14280365
425,0.078952129
426,-0.0045460098
427,-0.11751408
428,-0.23048215
429,-0.27468705
430,-0.40239008
431,-0.42694836
432,-0.48097657
433,-0.54973974
434,-0.5644747
435,-0.61850291
436,-0.63814953
437,-0.64306119
438,-0.58412133
439,-0.59885629
440,-0.67744277
441,-0.74129429
442,-0.67253112
443,-0.59885629
444,-0.52026981
445,-0.48097657
446,-0.4220367
447,-0.35327353
448,-0.3238036
449,-0.30415698
450,-0.31398029
451,-0.33362691
452,-0.29924532
453,-0.25995208
454,-0.22065884
455,-0.18627725
456,-0.14698401
457,-0.10769077
458,-0.10277911
459,-0.063485872
460,-0.097867459
461,-0.11260242
462,-0.1371607
463,-0.22065884
464,-0.30906863
465,-0.34345022
466,-0.30415698
467,-0.30906863
468,-0.23048215
469,-0.30415698
470,-0.38765512
471,-0.41712505
472,-0.4662416
473,-0.45150663
474,-0.44659498
475,-0.44659498
476,-0.40239008
477,-0.35327353
478,-0.31398029
479,-0.30906863
480,-0.24521712
481,-0.27468705
482,-0.25504043
483,-0.14698401
484,-0.11751408
485,-0.019280975
486,0.09859875
487,0.23121344
488,0.30488827
489,0.40312137
490,0.57502931
491,0.69290903
492,0.73711393
493,0.84025869
494,0.85990531
495,0.89428689
496,0.95813841
497,0.95322676
498,0.98269669
499,0.97287338
500,0.92375683
501,0.86972862
502,0.79114213
503,0.67817407
504,0.565206
505,0.44732627
506,0.3343582
507,0.21647847
508,0.1035104
509,-0.01436932
510,-0.16663063
511,-0.2353938
512,-0.2795987
513,-0.30906863
514,-0.32871525
515,-0.33853856
516,-0.43186001
517,-0.47606491
518,-0.58412133
519,-0.5644747
